sample.id,value,epitope.id,paper.name
PICI0002_A05_K01621KE01_SPB_A03,0.046736219,TBX21,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01621KE01_SPB_A03,0.16028274,ITAX,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01621KE01_SPB_A03,0.21170982,PDCD1,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01621KE01_SPB_A03,0.004405037,KI67,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01621KE01_SPB_A03,7.214578855,DRA,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01621KE01_SPB_A03,1.378363619,CD38,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01621KE01_SPB_A03,0.212602398,CTLA4,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01621KE01_SPB_A03,0,HAVR2,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01621KE01_SPB_A03,15.81735981,TNR5,CCR7+ CD11b+ CD27- B cells
BK00944EB01,11.24320063,TNR5,CCR7+ CD11b+ CD27- B cells
BK00944EB01,0.504528654,ITAX,CCR7+ CD11b+ CD27- B cells
BK00944EB01,1.504758904,CD38,CCR7+ CD11b+ CD27- B cells
BK00944EB01,2.834676707,DRA,CCR7+ CD11b+ CD27- B cells
BK00944EB01,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK00944EB01,0.024737961,KI67,CCR7+ CD11b+ CD27- B cells
BK00944EB01,0.122645421,CTLA4,CCR7+ CD11b+ CD27- B cells
BK00944EB01,0.028458093,TBX21,CCR7+ CD11b+ CD27- B cells
BK00944EB01,1.134917867,PDCD1,CCR7+ CD11b+ CD27- B cells
BK00105EB01,0.254385912,CTLA4,CCR7+ CD11b+ CD27- B cells
BK00105EB01,1.651594028,PDCD1,CCR7+ CD11b+ CD27- B cells
BK00105EB01,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK00105EB01,0.042308735,KI67,CCR7+ CD11b+ CD27- B cells
BK00105EB01,0.388997869,ITAX,CCR7+ CD11b+ CD27- B cells
BK00105EB01,2.083406047,DRA,CCR7+ CD11b+ CD27- B cells
BK00105EB01,0.13115035,TBX21,CCR7+ CD11b+ CD27- B cells
BK00105EB01,0.877071884,CD38,CCR7+ CD11b+ CD27- B cells
BK00105EB01,10.92103341,TNR5,CCR7+ CD11b+ CD27- B cells
BK00954EB02,0.08417714,TBX21,CCR7+ CD11b+ CD27- B cells
BK00954EB02,0.055836511,KI67,CCR7+ CD11b+ CD27- B cells
BK00954EB02,0.286348513,CTLA4,CCR7+ CD11b+ CD27- B cells
BK00954EB02,1.13898227,ITAX,CCR7+ CD11b+ CD27- B cells
BK00954EB02,1.345800499,PDCD1,CCR7+ CD11b+ CD27- B cells
BK00954EB02,3.722492501,DRA,CCR7+ CD11b+ CD27- B cells
BK00954EB02,0.918732982,CD38,CCR7+ CD11b+ CD27- B cells
BK00954EB02,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK00954EB02,15.74930182,TNR5,CCR7+ CD11b+ CD27- B cells
BK01093EB01,0.025248311,KI67,CCR7+ CD11b+ CD27- B cells
BK01093EB01,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK01093EB01,0.567798474,PDCD1,CCR7+ CD11b+ CD27- B cells
BK01093EB01,0.025574336,TBX21,CCR7+ CD11b+ CD27- B cells
BK01093EB01,0.719875198,ITAX,CCR7+ CD11b+ CD27- B cells
BK01093EB01,0.25082077,CTLA4,CCR7+ CD11b+ CD27- B cells
BK01093EB01,15.37848888,TNR5,CCR7+ CD11b+ CD27- B cells
BK01093EB01,3.542760252,DRA,CCR7+ CD11b+ CD27- B cells
BK01093EB01,0.51376427,CD38,CCR7+ CD11b+ CD27- B cells
BK00149EB01,3.985517324,DRA,CCR7+ CD11b+ CD27- B cells
BK00149EB01,9.942876994,TNR5,CCR7+ CD11b+ CD27- B cells
BK00149EB01,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK00149EB01,0.332185244,PDCD1,CCR7+ CD11b+ CD27- B cells
BK00149EB01,0.846936723,ITAX,CCR7+ CD11b+ CD27- B cells
BK00149EB01,0.429493418,CD38,CCR7+ CD11b+ CD27- B cells
BK00149EB01,0.02236506,KI67,CCR7+ CD11b+ CD27- B cells
BK00149EB01,0.058015594,TBX21,CCR7+ CD11b+ CD27- B cells
BK00149EB01,0.202586416,CTLA4,CCR7+ CD11b+ CD27- B cells
BK02078EB01,4.537484603,DRA,CCR7+ CD11b+ CD27- B cells
BK02078EB01,1.05671703,CD38,CCR7+ CD11b+ CD27- B cells
BK02078EB01,0.016509249,TBX21,CCR7+ CD11b+ CD27- B cells
BK02078EB01,0.638600858,ITAX,CCR7+ CD11b+ CD27- B cells
BK02078EB01,9.934502338,TNR5,CCR7+ CD11b+ CD27- B cells
BK02078EB01,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK02078EB01,0.148211542,CTLA4,CCR7+ CD11b+ CD27- B cells
BK02078EB01,0.503535953,PDCD1,CCR7+ CD11b+ CD27- B cells
BK02078EB01,0.018911284,KI67,CCR7+ CD11b+ CD27- B cells
BK01108EB01,0.462200529,CD38,CCR7+ CD11b+ CD27- B cells
BK01108EB01,0.27380516,CTLA4,CCR7+ CD11b+ CD27- B cells
BK01108EB01,0.041452685,TBX21,CCR7+ CD11b+ CD27- B cells
BK01108EB01,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK01108EB01,0.032682249,KI67,CCR7+ CD11b+ CD27- B cells
BK01108EB01,0.605213203,PDCD1,CCR7+ CD11b+ CD27- B cells
BK01108EB01,13.59954919,TNR5,CCR7+ CD11b+ CD27- B cells
BK01108EB01,0.479030156,ITAX,CCR7+ CD11b+ CD27- B cells
BK01108EB01,1.874875071,DRA,CCR7+ CD11b+ CD27- B cells
BK02082EB02,0.624236008,HAVR2,CCR7+ CD11b+ CD27- B cells
BK02082EB02,0.246504891,PDCD1,CCR7+ CD11b+ CD27- B cells
BK02082EB02,0.84786968,CD38,CCR7+ CD11b+ CD27- B cells
BK02082EB02,2.215622411,DRA,CCR7+ CD11b+ CD27- B cells
BK02082EB02,0.052312763,KI67,CCR7+ CD11b+ CD27- B cells
BK02082EB02,0.884627899,CTLA4,CCR7+ CD11b+ CD27- B cells
BK02082EB02,0.7868498,ITAX,CCR7+ CD11b+ CD27- B cells
BK02082EB02,14.87678999,TNR5,CCR7+ CD11b+ CD27- B cells
BK02082EB02,0.075396561,TBX21,CCR7+ CD11b+ CD27- B cells
BK02081EB02,6.152528382,TBX21,CCR7+ CD11b+ CD27- B cells
BK02081EB02,2.534194096,DRA,CCR7+ CD11b+ CD27- B cells
BK02081EB02,0.448429861,CTLA4,CCR7+ CD11b+ CD27- B cells
BK02081EB02,2.344390263,ITAX,CCR7+ CD11b+ CD27- B cells
BK02081EB02,0.212438841,HAVR2,CCR7+ CD11b+ CD27- B cells
BK02081EB02,0.078381897,KI67,CCR7+ CD11b+ CD27- B cells
BK02081EB02,16.58838601,TNR5,CCR7+ CD11b+ CD27- B cells
BK02081EB02,0.164811873,PDCD1,CCR7+ CD11b+ CD27- B cells
BK02081EB02,3.011504558,CD38,CCR7+ CD11b+ CD27- B cells
BK04380EB02,0.65426893,CD38,CCR7+ CD11b+ CD27- B cells
BK04380EB02,4.327626831,DRA,CCR7+ CD11b+ CD27- B cells
BK04380EB02,0.478987112,ITAX,CCR7+ CD11b+ CD27- B cells
BK04380EB02,0.192963195,TBX21,CCR7+ CD11b+ CD27- B cells
BK04380EB02,9.179644627,TNR5,CCR7+ CD11b+ CD27- B cells
BK04380EB02,0.262831178,CTLA4,CCR7+ CD11b+ CD27- B cells
BK04380EB02,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK04380EB02,0.171403848,PDCD1,CCR7+ CD11b+ CD27- B cells
BK04380EB02,0.080483907,KI67,CCR7+ CD11b+ CD27- B cells
K06486EB02,0,HAVR2,CCR7+ CD11b+ CD27- B cells
K06486EB02,0.414425431,CTLA4,CCR7+ CD11b+ CD27- B cells
K06486EB02,0.511047196,PDCD1,CCR7+ CD11b+ CD27- B cells
K06486EB02,3.332287986,DRA,CCR7+ CD11b+ CD27- B cells
K06486EB02,1.302888307,CD38,CCR7+ CD11b+ CD27- B cells
K06486EB02,0.182312021,TBX21,CCR7+ CD11b+ CD27- B cells
K06486EB02,0.086091414,KI67,CCR7+ CD11b+ CD27- B cells
K06486EB02,17.5591913,TNR5,CCR7+ CD11b+ CD27- B cells
K06486EB02,0.65617031,ITAX,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01378KE01_SPB_A03,1.181295289,CD38,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01378KE01_SPB_A03,0.602683863,ITAX,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01378KE01_SPB_A03,0.181145206,PDCD1,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01378KE01_SPB_A03,0.094243911,TBX21,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01378KE01_SPB_A03,9.216532251,TNR5,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01378KE01_SPB_A03,0,HAVR2,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01378KE01_SPB_A03,0.058264744,KI67,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01378KE01_SPB_A03,4.445846722,DRA,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01378KE01_SPB_A03,0.375706423,CTLA4,CCR7+ CD11b+ CD27- B cells
BK00258EB01,0.020261895,KI67,CCR7+ CD11b+ CD27- B cells
BK00258EB01,8.328000265,TNR5,CCR7+ CD11b+ CD27- B cells
BK00258EB01,3.393612193,TBX21,CCR7+ CD11b+ CD27- B cells
BK00258EB01,0.174491994,ITAX,CCR7+ CD11b+ CD27- B cells
BK00258EB01,0.681901744,CD38,CCR7+ CD11b+ CD27- B cells
BK00258EB01,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK00258EB01,2.060923764,DRA,CCR7+ CD11b+ CD27- B cells
BK00258EB01,0.415947174,CTLA4,CCR7+ CD11b+ CD27- B cells
BK00258EB01,0.03541051,PDCD1,CCR7+ CD11b+ CD27- B cells
BK00957EB01,0.908525704,ITAX,CCR7+ CD11b+ CD27- B cells
BK00957EB01,0.030403618,TBX21,CCR7+ CD11b+ CD27- B cells
BK00957EB01,5.088908612,TNR5,CCR7+ CD11b+ CD27- B cells
BK00957EB01,0.278870203,CTLA4,CCR7+ CD11b+ CD27- B cells
BK00957EB01,0.29479752,CD38,CCR7+ CD11b+ CD27- B cells
BK00957EB01,0.836285908,DRA,CCR7+ CD11b+ CD27- B cells
BK00957EB01,0,HAVR2,CCR7+ CD11b+ CD27- B cells
