sample.id,value,paper.name
PICI0002_A01_K01427KE01_SPB_A03,8.706554e-5,CD1C+ CD141+ DC (% of leukocytes)
PICI0002_A16_K06268KE01_SPB_A01,6.701162e-5,CD1C+ CD141+ DC (% of leukocytes)
BK00972EB02,6.19013e-5,CD1C+ CD141+ DC (% of leukocytes)
BK00971EB01,2.446372e-5,CD1C+ CD141+ DC (% of leukocytes)
BK00975EB01,2.9305404e-5,CD1C+ CD141+ DC (% of leukocytes)
BK00865EB01,1.13423695e-4,CD1C+ CD141+ DC (% of leukocytes)
BK00973EB01,1.9199846e-5,CD1C+ CD141+ DC (% of leukocytes)
PICI0002_A01_K06378KE01_SPB_A01,6.249783e-5,CD1C+ CD141+ DC (% of leukocytes)
BK01788EB01,6.550397e-5,CD1C+ CD141+ DC (% of leukocytes)
BK01785EB01,5.4046617e-5,CD1C+ CD141+ DC (% of leukocytes)
BK01771EB01,2.1409128e-4,CD1C+ CD141+ DC (% of leukocytes)
BK01802EB02,5.7239345e-6,CD1C+ CD141+ DC (% of leukocytes)
BK01842EB02,5.375853e-5,CD1C+ CD141+ DC (% of leukocytes)
BK04213EB02,1.2610681e-4,CD1C+ CD141+ DC (% of leukocytes)
BK04230EB02,4.9654733e-5,CD1C+ CD141+ DC (% of leukocytes)
PICI0002_A01_K01442KE01_SPB_A03,2.943306e-6,CD1C+ CD141+ DC (% of leukocytes)
BK00278EB01,1.4071387e-5,CD1C+ CD141+ DC (% of leukocytes)
BK00267EB01,4.3622404e-6,CD1C+ CD141+ DC (% of leukocytes)
BK00854EB02,1.01277175e-4,CD1C+ CD141+ DC (% of leukocytes)
BK00974EB01,0,CD1C+ CD141+ DC (% of leukocytes)
BK00980EB01,8.604889e-6,CD1C+ CD141+ DC (% of leukocytes)
BK00988EB01,1.2635995e-5,CD1C+ CD141+ DC (% of leukocytes)
BK01800EB01,3.9993745e-5,CD1C+ CD141+ DC (% of leukocytes)
BK00855EB01,2.202546e-5,CD1C+ CD141+ DC (% of leukocytes)
BK00858EB01,0,CD1C+ CD141+ DC (% of leukocytes)
BK00995EB02,5.397874e-5,CD1C+ CD141+ DC (% of leukocytes)
BK00979EB01,6.323142e-5,CD1C+ CD141+ DC (% of leukocytes)
BK01829EB02,3.469933e-5,CD1C+ CD141+ DC (% of leukocytes)
BK00977EB02,6.7662484e-5,CD1C+ CD141+ DC (% of leukocytes)
PICI0002_A01_K01443KE02_SPB_A02,2.0801957e-5,CD1C+ CD141+ DC (% of leukocytes)
BK00542EB01,3.0316416e-5,CD1C+ CD141+ DC (% of leukocytes)
BK00575EB02,4.6631707e-5,CD1C+ CD141+ DC (% of leukocytes)
BK00860EB01,1.2515801e-5,CD1C+ CD141+ DC (% of leukocytes)
BK00597EB02,8.997822e-6,CD1C+ CD141+ DC (% of leukocytes)
BK00862EB01,5.781015e-5,CD1C+ CD141+ DC (% of leukocytes)
BK00874EB01,8.000989e-5,CD1C+ CD141+ DC (% of leukocytes)
BK01898EB02,4.9316473e-5,CD1C+ CD141+ DC (% of leukocytes)
BK01825EB02,1.7403108e-5,CD1C+ CD141+ DC (% of leukocytes)
BK01823EB03,0,CD1C+ CD141+ DC (% of leukocytes)
BK01846EB02,1.1714952e-5,CD1C+ CD141+ DC (% of leukocytes)
BK00092EB01,1.3917226e-5,CD1C+ CD141+ DC (% of leukocytes)
BK00432EB01,0,CD1C+ CD141+ DC (% of leukocytes)
BK00984EB01,2.3781779e-5,CD1C+ CD141+ DC (% of leukocytes)
BK00985EB02,0,CD1C+ CD141+ DC (% of leukocytes)
BK01900EB02,4.2814634e-5,CD1C+ CD141+ DC (% of leukocytes)
BK01857EB02,2.0036567e-5,CD1C+ CD141+ DC (% of leukocytes)
BK00333EB01,6.305935e-5,CD1C+ CD141+ DC (% of leukocytes)
BK00300EB01,1.5757265e-4,CD1C+ CD141+ DC (% of leukocytes)
BK00847EB02,0,CD1C+ CD141+ DC (% of leukocytes)
BK00322EB02,2.3040413e-5,CD1C+ CD141+ DC (% of leukocytes)
BK00868EB01,2.000096e-5,CD1C+ CD141+ DC (% of leukocytes)
BK01215EB02,1.5960355e-5,CD1C+ CD141+ DC (% of leukocytes)
BK01801EB02,3.586183e-5,CD1C+ CD141+ DC (% of leukocytes)
BK001772EB01,1.087583e-5,CD1C+ CD141+ DC (% of leukocytes)
BK01214EB02,0,CD1C+ CD141+ DC (% of leukocytes)
BK01211EB02,6.8270776e-5,CD1C+ CD141+ DC (% of leukocytes)
BK01854EB01,0,CD1C+ CD141+ DC (% of leukocytes)
BK01834EB01,5.192355e-5,CD1C+ CD141+ DC (% of leukocytes)
BK01220EB01,0,CD1C+ CD141+ DC (% of leukocytes)
BK01210EB02,1.9249648e-5,CD1C+ CD141+ DC (% of leukocytes)
BK01884EB02,4.154653e-5,CD1C+ CD141+ DC (% of leukocytes)
BK04200EB03,9.636913e-6,CD1C+ CD141+ DC (% of leukocytes)
