"sample.id","value","paper.name"
"K00891RS01_SSE_A02",1.91196,"Arginase 1 (ARG1)"
"K01350RS01_SSE_A04",5.59881,"Arginase 1 (ARG1)"
"K01409RS01_SSE_A07",5.34526,"Arginase 1 (ARG1)"
"K01427RS01_SSE_A05",3.99538,"Arginase 1 (ARG1)"
"K01425RS01_SSE_A04",4.60462,"Arginase 1 (ARG1)"
"K06268RS01_SSE_A03",5.13711,"Arginase 1 (ARG1)"
"BK00081RS03",4.52329,"Arginase 1 (ARG1)"
"BK00972RS03",3.70676,"Arginase 1 (ARG1)"
"BK00971RS03",5.32094,"Arginase 1 (ARG1)"
"BK00975RS02",6.54212,"Arginase 1 (ARG1)"
"BK00865RS03",5.05526,"Arginase 1 (ARG1)"
"BK00973RS02",6.23253,"Arginase 1 (ARG1)"
"K06378RS01_SSE_A03",5.03805,"Arginase 1 (ARG1)"
"BK01788RS03",6.0271,"Arginase 1 (ARG1)"
"BK01785RS03",5.30612,"Arginase 1 (ARG1)"
"BK01771RS04",5.21489,"Arginase 1 (ARG1)"
"BK01802RS03",4.51142,"Arginase 1 (ARG1)"
"BK01842RS03",4.56292,"Arginase 1 (ARG1)"
"BK01767RS02",5.04608,"Arginase 1 (ARG1)"
"BK04213RS02",5.21588,"Arginase 1 (ARG1)"
"BK04230RS02",3.89657,"Arginase 1 (ARG1)"
"K01422RS01_SSE_A05",5.07639,"Arginase 1 (ARG1)"
"Immune Profilin",6.06384,"Arginase 1 (ARG1)"
"BK00278RS03",3.3196,"Arginase 1 (ARG1)"
"BK00289RS02",4.82267,"Arginase 1 (ARG1)"
"BK00267RS03",4.06477,"Arginase 1 (ARG1)"
"BK00854RS01",5.87534,"Arginase 1 (ARG1)"
"BK00974RS03",3.33908,"Arginase 1 (ARG1)"
"BK00852RS04",5.31322,"Arginase 1 (ARG1)"
"BK00980RS03",4.44018,"Arginase 1 (ARG1)"
"BK00988RS01",5.38503,"Arginase 1 (ARG1)"
"BK01800RS01",5.8251,"Arginase 1 (ARG1)"
"K06374RS01_SSE_A01",4.13357,"Arginase 1 (ARG1)"
"BK00995RS02",4.04605,"Arginase 1 (ARG1)"
"BK00979RS02",3.63589,"Arginase 1 (ARG1)"
"BK01829RS01",5.69665,"Arginase 1 (ARG1)"
"BK01832RS03",4.29187,"Arginase 1 (ARG1)"
"BK00977RS03",5.36696,"Arginase 1 (ARG1)"
"BK00542RS03",4.26142,"Arginase 1 (ARG1)"
"BK00575RS03",4.16214,"Arginase 1 (ARG1)"
"BK00860RS03",3.06059,"Arginase 1 (ARG1)"
"BK00597RS03",4.63426,"Arginase 1 (ARG1)"
"BK00862RS03",4.1682,"Arginase 1 (ARG1)"
"BK00564RS03",4.51773,"Arginase 1 (ARG1)"
"BK00874RS03",5.42191,"Arginase 1 (ARG1)"
"BK00873RS02",4.20292,"Arginase 1 (ARG1)"
"BK01898RS03",3.93867,"Arginase 1 (ARG1)"
"BK01825RS03",4.72043,"Arginase 1 (ARG1)"
"BK01823RS02",3.97157,"Arginase 1 (ARG1)"
"BK01846RS03",4.37984,"Arginase 1 (ARG1)"
"BK01812RS03",6.48075,"Arginase 1 (ARG1)"
"K01432RS01_SSE_A05",3.4202,"Arginase 1 (ARG1)"
"K06191RS01_SSE_A05",3.52227,"Arginase 1 (ARG1)"
"K01452RS01_SSE_A06",5.34777,"Arginase 1 (ARG1)"
"BK00092RS01",5.23776,"Arginase 1 (ARG1)"
"BK00114RS04",5.73235,"Arginase 1 (ARG1)"
"BK00432RS03",6.55947,"Arginase 1 (ARG1)"
"BK00993RS02",4.57147,"Arginase 1 (ARG1)"
"BK00509RS03",3.69732,"Arginase 1 (ARG1)"
"BK00984RS02",5.64408,"Arginase 1 (ARG1)"
"BK00985RS04",4.84999,"Arginase 1 (ARG1)"
"BK01783RS03",4.35976,"Arginase 1 (ARG1)"
"BK00498RS04",4.98733,"Arginase 1 (ARG1)"
"BK01900RS03",4.26572,"Arginase 1 (ARG1)"
"BK01857RS04",4.96485,"Arginase 1 (ARG1)"
"K01416RS01_SSE_A04",5.36989,"Arginase 1 (ARG1)"
"K01447RS01_SSE_A04",5.8236,"Arginase 1 (ARG1)"
"BK00344RS03",4.15789,"Arginase 1 (ARG1)"
"BK00333RS03",5.88721,"Arginase 1 (ARG1)"
"BK00300RS06",5.68521,"Arginase 1 (ARG1)"
"BK00847RS03",5.21557,"Arginase 1 (ARG1)"
"BK00322RS02",4.61801,"Arginase 1 (ARG1)"
"BK00867RS03",4.50989,"Arginase 1 (ARG1)"
"BK00868RS02",5.56194,"Arginase 1 (ARG1)"
"BK01215RS01",5.51855,"Arginase 1 (ARG1)"
"BK01801RS03",5.00612,"Arginase 1 (ARG1)"
