Gene Symbol	NCBI Gene ID	RNA-Seq Raw Counts	FPKM	CPM	TPM	Percentile Rank	Is Expressed	sample
A1BG	1	74594	529.6419	981.4264	1730.3903	1	yes	11217-052_1_1-11
A1BG-AS1	503538	222	1.3713	2.9208	4.4801	0.49	yes	11217-052_1_1-11
A1CF	29974	26807	37.013	352.6972	120.9251	0.95	yes	11217-052_1_1-11
A2M	2	118776	335.8532	1562.7248	1097.2643	0.99	yes	11217-052_1_1-11
A2M-AS1	144571	73	0.4392	0.9605	1.4348	0.38	no	11217-052_1_1-11
A2ML1	144568	1	0.0024	0.0132	0.0079	0.15	no	11217-052_1_1-11
A3GALT2	127550	14	0.1801	0.1842	0.5883	0.31	no	11217-052_1_1-11
A4GALT	53947	157	0.679	2.0656	2.2185	0.41	yes	11217-052_1_1-11
A4GNT	51146	9	0.0669	0.1184	0.2184	0.25	no	11217-052_1_1-11
AAAS	8086	1365	9.7764	17.9592	31.9403	0.82	yes	11217-052_1_1-11
AACS	65985	470	1.8575	6.1837	6.0688	0.53	yes	11217-052_1_1-11
AADAC	13	16804	130.2053	221.0887	425.3932	0.99	yes	11217-052_1_1-11
AADACL2	344752	0	0	0	0	0	no	11217-052_1_1-11
AADACL3	126767	0	0	0	0	0	no	11217-052_1_1-11
AADACL4	343066	1	0.0084	0.0132	0.0273	0.17	no	11217-052_1_1-11
AADAT	51166	2948	13.8277	38.7866	45.1763	0.87	yes	11217-052_1_1-11
PRXL2C	195827	400	3.1838	5.2628	10.4017	0.61	yes	11217-052_1_1-11
AAGAB	79719	872	3.2695	11.4728	10.6819	0.62	yes	11217-052_1_1-11
AAK1	22848	3220	1.9425	42.3652	6.3462	0.53	yes	11217-052_1_1-11
AAMDC	28971	386	8.3667	5.0786	27.3347	0.79	yes	11217-052_1_1-11
AAMP	14	2765	20.2555	36.3788	66.1766	0.91	yes	11217-052_1_1-11
AANAT	15	1	0.0063	0.0132	0.0205	0.17	no	11217-052_1_1-11
AAR2	25980	417	1.8417	5.4864	6.017	0.53	yes	11217-052_1_1-11
AARD	441376	0	0	0	0	0	no	11217-052_1_1-11
AARS	16	6078	23.092	79.9677	75.4438	0.92	yes	11217-052_1_1-11
AARS2	57505	1474	4.0294	19.3933	13.1643	0.66	yes	11217-052_1_1-11
AARSD1	80755	0	0	0	0	0	no	11217-052_1_1-11
AASDH	132949	1850	5.7204	24.3403	18.6891	0.72	yes	11217-052_1_1-11
