Gene Symbol	NCBI Gene ID	RNA-Seq Raw Counts	FPKM	CPM	TPM	Percentile Rank	Is Expressed	sample
A1BG	1	221	1.8704	3.4659	7.7687	0.48	yes	A135BS779-001
A1BG-AS1	503538	476	3.5047	7.465	14.5566	0.58	yes	A135BS779-001
A1CF	29974	91	0.1498	1.4271	0.6221	0.27	no	A135BS779-001
A2M	2	37130	125.1451	582.3001	519.7845	0.99	yes	A135BS779-001
A2M-AS1	144571	99	0.7099	1.5526	2.9486	0.38	yes	A135BS779-001
A2ML1	144568	2	0.0058	0.0314	0.0239	0.15	no	A135BS779-001
A3GALT2	127550	44	0.6745	0.69	2.8016	0.37	yes	A135BS779-001
A4GALT	53947	1850	9.5375	29.0131	39.6136	0.78	yes	A135BS779-001
A4GNT	51146	14	0.124	0.2196	0.5149	0.26	no	A135BS779-001
AAAS	8086	1292	11.03	20.2621	45.8126	0.81	yes	A135BS779-001
AACS	65985	1257	5.9217	19.7132	24.5953	0.68	yes	A135BS779-001
AADAC	13	700	6.4652	10.9779	26.8529	0.7	yes	A135BS779-001
AADACL2	344752	0	0	0	0	0	no	A135BS779-001
AADACL3	126767	0	0	0	0	0	no	A135BS779-001
AADACL4	343066	4	0.0398	0.0627	0.1654	0.2	no	A135BS779-001
AADAT	51166	633	3.5391	9.9272	14.6995	0.58	yes	A135BS779-001
PRXL2C	195827	813	7.7133	12.7501	32.0368	0.74	yes	A135BS779-001
AAGAB	79719	1412	6.3106	22.144	26.2109	0.7	yes	A135BS779-001
AAK1	22848	6156	4.4265	96.5429	18.3855	0.63	yes	A135BS779-001
AAMDC	28971	204	5.2706	3.1993	21.8914	0.66	yes	A135BS779-001
AAMP	14	1955	17.0711	30.6598	70.9042	0.88	yes	A135BS779-001
AANAT	15	5	0.0375	0.0784	0.1556	0.2	no	A135BS779-001
AAR2	25980	569	2.9955	8.9235	12.4415	0.56	yes	A135BS779-001
AARD	441376	2	0.0176	0.0314	0.0729	0.18	no	A135BS779-001
AARS	16	6933	31.3972	108.7284	130.4068	0.95	yes	A135BS779-001
AARS2	57505	1921	6.2594	30.1265	25.9982	0.69	yes	A135BS779-001
AARSD1	80755	0	0	0	0	0	no	A135BS779-001
AASDH	132949	1207	4.4487	18.9291	18.4773	0.63	yes	A135BS779-001
AASDHPPT	60496	470	2.5763	7.3709	10.7007	0.53	yes	A135BS779-001
AASS	10157	2306	5.7614	36.1644	23.9298	0.68	yes	A135BS779-001
AATF	26574	1558	11.4123	24.4337	47.4004	0.82	yes	A135BS779-001
AATK	9625	274	0.4363	4.2971	1.8121	0.34	no	A135BS779-001
PVALEF	388428	2	0.0199	0.0314	0.0826	0.18	no	A135BS779-001
ABAT	18	299	0.7807	4.6891	3.2428	0.39	yes	A135BS779-001
ABCA1	19	11907	16.7055	186.7344	69.3856	0.88	yes	A135BS779-001
ABCA10	10349	2537	6.0531	39.7871	25.1413	0.69	yes	A135BS779-001
ABCA11P	79963	299	1.2372	4.6891	5.1388	0.43	yes	A135BS779-001
ABCA12	26154	148	0.2477	2.321	1.0289	0.3	no	A135BS779-001
ABCA13	154664	414	0.3673	6.4927	1.5255	0.33	no	A135BS779-001
ABCA2	20	8171	15.3282	128.1437	63.6649	0.87	yes	A135BS779-001
ABCA3	21	1012	2.388	15.8709	9.9186	0.52	yes	A135BS779-001
ABCA4	24	49	0.1049	0.7685	0.4357	0.25	no	A135BS779-001
ABCA5	23461	2951	4.87	46.2798	20.2274	0.64	yes	A135BS779-001
ABCA6	23460	3796	11.2409	59.5317	46.6885	0.81	yes	A135BS779-001
ABCA7	10347	2788	6.412	43.7235	26.632	0.7	yes	A135BS779-001
ABCA8	10351	2312	5.5946	36.2585	23.2368	0.67	yes	A135BS779-001
ABCA9	10350	3419	7.583	53.6193	31.4956	0.74	yes	A135BS779-001
ABCB1	5243	469	1.5596	7.3552	6.4778	0.46	yes	A135BS779-001
