Gene Symbol	NCBI Gene ID	RNA-Seq Raw Counts	FPKM	CPM	TPM	Percentile Rank	Is Expressed	sample
A1BG	1	85	0.6501	1.2046	2.7097	0.37	yes	A222BO400-001
A1BG-AS1	503538	202	1.344	2.8627	5.6021	0.44	yes	A222BO400-001
A1CF	29974	132	0.1963	1.8707	0.8183	0.28	no	A222BO400-001
A2M	2	145899	444.3666	2067.6377	1852.2289	1	yes	A222BO400-001
A2M-AS1	144571	202	1.309	2.8627	5.456	0.43	yes	A222BO400-001
A2ML1	144568	7	0.0182	0.0992	0.0759	0.17	no	A222BO400-001
A3GALT2	127550	15	0.2078	0.2126	0.8661	0.28	no	A222BO400-001
A4GALT	53947	776	3.6151	10.9972	15.0688	0.59	yes	A222BO400-001
A4GNT	51146	37	0.2961	0.5244	1.2341	0.31	no	A222BO400-001
AAAS	8086	1132	8.7329	16.0424	36.4009	0.76	yes	A222BO400-001
AACS	65985	921	3.9207	13.0521	16.3426	0.6	yes	A222BO400-001
AADAC	13	665	5.5502	9.4242	23.1345	0.67	yes	A222BO400-001
AADACL2	344752	4	0.0189	0.0567	0.0788	0.17	no	A222BO400-001
AADACL3	126767	0	0	0	0	0	no	A222BO400-001
AADACL4	343066	0	0	0	0	0	no	A222BO400-001
AADAT	51166	572	2.8899	8.1062	12.0459	0.55	yes	A222BO400-001
PRXL2C	195827	1504	12.8943	21.3142	53.7465	0.83	yes	A222BO400-001
AAGAB	79719	1576	6.3649	22.3346	26.5307	0.7	yes	A222BO400-001
AAK1	22848	6098	3.9624	86.4191	16.5161	0.6	yes	A222BO400-001
AAMDC	28971	417	9.7358	5.9096	40.581	0.78	yes	A222BO400-001
AAMP	14	2135	16.8467	30.2566	70.221	0.87	yes	A222BO400-001
AANAT	15	1	0.0068	0.0142	0.0282	0.15	no	A222BO400-001
AAR2	25980	638	3.0351	9.0415	12.651	0.55	yes	A222BO400-001
AARD	441376	25	0.1984	0.3543	0.8269	0.28	no	A222BO400-001
AARS	16	4126	16.8849	58.4725	70.3805	0.88	yes	A222BO400-001
AARS2	57505	1130	3.3272	16.014	13.8688	0.57	yes	A222BO400-001
AARSD1	80755	5	0.0519	0.0709	0.2165	0.21	no	A222BO400-001
AASDH	132949	1928	6.4214	27.323	26.766	0.7	yes	A222BO400-001
AASDHPPT	60496	1007	4.9881	14.2709	20.7916	0.65	yes	A222BO400-001
AASS	10157	4158	9.3876	58.926	39.1298	0.78	yes	A222BO400-001
AATF	26574	2087	13.8143	29.5763	57.5813	0.84	yes	A222BO400-001
AATK	9625	2469	3.5526	34.9899	14.8083	0.58	yes	A222BO400-001
PVALEF	388428	0	0	0	0	0	no	A222BO400-001
ABAT	18	522	1.2317	7.3976	5.1341	0.43	yes	A222BO400-001
ABCA1	19	14480	18.3581	205.2063	76.5209	0.89	yes	A222BO400-001
ABCA10	10349	3304	7.1236	46.8233	29.6928	0.72	yes	A222BO400-001
ABCA11P	79963	482	1.8023	6.8308	7.5125	0.47	yes	A222BO400-001
ABCA12	26154	157	0.2375	2.225	0.9898	0.29	no	A222BO400-001
ABCA13	154664	8034	6.4405	113.8555	26.8457	0.7	yes	A222BO400-001
ABCA2	20	7066	11.9781	100.1373	49.9278	0.82	yes	A222BO400-001
ABCA3	21	26554	56.6229	376.3155	236.0179	0.97	yes	A222BO400-001
ABCA4	24	49	0.0948	0.6944	0.3951	0.24	no	A222BO400-001
ABCA5	23461	7224	10.7731	102.3764	44.9048	0.8	yes	A222BO400-001
ABCA6	23460	8617	23.0585	122.1176	96.1133	0.92	yes	A222BO400-001
ABCA7	10347	3418	7.1035	48.4389	29.6092	0.72	yes	A222BO400-001
ABCA8	10351	8433	18.4401	119.51	76.8627	0.89	yes	A222BO400-001
ABCA9	10350	3892	7.8004	55.1563	32.5138	0.74	yes	A222BO400-001
ABCB1	5243	1105	3.3206	15.6597	13.8409	0.57	yes	A222BO400-001
ABCB10	23456	1617	5.9413	22.9156	24.7649	0.68	yes	A222BO400-001
ABCB11	8647	30	0.0601	0.4252	0.2507	0.22	no	A222BO400-001
ABCB4	5244	88	0.3127	1.2471	1.3035	0.31	no	A222BO400-001
ABCB5	340273	78	0.1424	1.1054	0.5935	0.26	no	A222BO400-001
ABCB6	10058	446	2.0078	6.3206	8.369	0.49	yes	A222BO400-001
