Gene Symbol	NCBI Gene ID	RNA-Seq Raw Counts	FPKM	CPM	TPM	Percentile Rank	Is Expressed	sample
A1BG	1	152	1.2086	2.2396	4.1322	0.4	yes	K00885FP02_SL02
A1BG-AS1	503538	293	2.0268	4.3171	6.9294	0.47	yes	K00885FP02_SL02
A1CF	29974	873	1.3499	12.8629	4.615	0.41	yes	K00885FP02_SL02
A2M	2	20923	66.2546	308.2826	226.5166	0.98	yes	K00885FP02_SL02
A2M-AS1	144571	52	0.3503	0.7662	1.1977	0.28	no	K00885FP02_SL02
A2ML1	144568	14	0.0378	0.2063	0.1294	0.17	no	K00885FP02_SL02
A3GALT2	127550	29	0.4177	0.4273	1.428	0.29	no	K00885FP02_SL02
A4GALT	53947	1390	6.7326	20.4805	23.0178	0.7	yes	K00885FP02_SL02
A4GNT	51146	78	0.6489	1.1493	2.2186	0.33	yes	K00885FP02_SL02
AAAS	8086	1893	15.1833	27.8917	51.9099	0.87	yes	K00885FP02_SL02
AACS	65985	2145	9.4938	31.6047	32.4581	0.78	yes	K00885FP02_SL02
AADAC	13	661	5.7357	9.7393	19.6098	0.66	yes	K00885FP02_SL02
AADACL2	344752	0	0	0	0	0	no	K00885FP02_SL02
AADACL3	126767	0	0	0	0	0	no	K00885FP02_SL02
AADACL4	343066	7	0.0655	0.1031	0.2239	0.19	no	K00885FP02_SL02
AADAT	51166	661	3.4721	9.7393	11.8707	0.56	yes	K00885FP02_SL02
PRXL2C	195827	513	4.5727	7.5586	15.6334	0.62	yes	K00885FP02_SL02
AAGAB	79719	1122	4.7112	16.5317	16.1071	0.62	yes	K00885FP02_SL02
AAK1	22848	7768	5.2478	114.4549	17.9417	0.65	yes	K00885FP02_SL02
AAMDC	28971	198	4.8062	2.9174	16.4318	0.63	yes	K00885FP02_SL02
AAMP	14	2714	22.2653	39.9885	76.1224	0.92	yes	K00885FP02_SL02
AANAT	15	4	0.0282	0.0589	0.0963	0.16	no	K00885FP02_SL02
AAR2	25980	611	3.022	9.0026	10.3319	0.54	yes	K00885FP02_SL02
AARD	441376	6	0.0495	0.0884	0.1692	0.18	no	K00885FP02_SL02
AARS	16	5870	24.9753	86.4894	85.3876	0.93	yes	K00885FP02_SL02
AARS2	57505	2688	8.2288	39.6054	28.1334	0.75	yes	K00885FP02_SL02
AARSD1	80755	1	0.0108	0.0147	0.0369	0.13	no	K00885FP02_SL02
AASDH	132949	1902	6.5862	28.0243	22.5175	0.69	yes	K00885FP02_SL02
AASDHPPT	60496	596	3.0694	8.7816	10.4939	0.54	yes	K00885FP02_SL02
AASS	10157	3449	8.0959	50.8181	27.679	0.74	yes	K00885FP02_SL02
AATF	26574	1972	13.5711	29.0557	46.398	0.85	yes	K00885FP02_SL02
AATK	9625	4935	7.3828	72.713	25.2409	0.72	yes	K00885FP02_SL02
PVALEF	388428	10	0.0934	0.1473	0.3194	0.2	no	K00885FP02_SL02
ABAT	18	2077	5.0954	30.6028	17.4205	0.64	yes	K00885FP02_SL02
ABCA1	19	12090	15.9363	178.1358	54.4843	0.88	yes	K00885FP02_SL02
ABCA10	10349	4846	10.8629	71.4017	37.1389	0.8	yes	K00885FP02_SL02
ABCA11P	79963	967	3.7593	14.2479	12.8528	0.58	yes	K00885FP02_SL02
ABCA12	26154	59	0.0928	0.8693	0.3172	0.2	no	K00885FP02_SL02
ABCA13	154664	626	0.5218	9.2236	1.7838	0.31	no	K00885FP02_SL02
ABCA2	20	13242	23.3385	195.1096	79.7915	0.92	yes	K00885FP02_SL02
ABCA3	21	2114	4.6867	31.148	16.0234	0.62	yes	K00885FP02_SL02
ABCA4	24	60	0.1207	0.884	0.4126	0.21	no	K00885FP02_SL02
ABCA5	23461	10486	16.2583	154.5023	55.5851	0.88	yes	K00885FP02_SL02
ABCA6	23460	8667	24.1127	127.7009	82.4385	0.93	yes	K00885FP02_SL02
