Gene Symbol	NCBI Gene ID	RNA-Seq Raw Counts	FPKM	CPM	TPM	Percentile Rank	Is Expressed	sample
A1BG	1	128	1.0699	1.9826	4.5422	0.4	yes	A463BM739-001
A1BG-AS1	503538	193	1.4035	2.9894	5.9582	0.43	yes	A463BM739-001
A1CF	29974	247	0.4015	3.8258	1.7045	0.31	no	A463BM739-001
A2M	2	31708	105.5495	491.122	448.0964	0.99	yes	A463BM739-001
A2M-AS1	144571	79	0.5595	1.2236	2.3753	0.33	yes	A463BM739-001
A2ML1	144568	842	2.393	13.0417	10.159	0.51	yes	A463BM739-001
A3GALT2	127550	13	0.1968	0.2014	0.8356	0.26	no	A463BM739-001
A4GALT	53947	1440	7.332	22.304	31.1271	0.72	yes	A463BM739-001
A4GNT	51146	171	1.4955	2.6486	6.3491	0.44	yes	A463BM739-001
AAAS	8086	1240	10.4552	19.2062	44.3862	0.79	yes	A463BM739-001
AACS	65985	1357	6.3137	21.0184	26.8041	0.69	yes	A463BM739-001
AADAC	13	167	1.5233	2.5866	6.4672	0.44	yes	A463BM739-001
AADACL2	344752	0	0	0	0	0	no	A463BM739-001
AADACL3	126767	0	0	0	0	0	no	A463BM739-001
AADACL4	343066	0	0	0	0	0	no	A463BM739-001
AADAT	51166	718	3.9647	11.121	16.8317	0.6	yes	A463BM739-001
PRXL2C	195827	966	9.0516	14.9623	38.4273	0.76	yes	A463BM739-001
AAGAB	79719	1879	8.294	29.1036	35.2111	0.75	yes	A463BM739-001
AAK1	22848	5819	4.1325	90.1299	17.544	0.6	yes	A463BM739-001
AAMDC	28971	286	7.2979	4.4298	30.9823	0.72	yes	A463BM739-001
AAMP	14	2532	21.8362	39.2179	92.7028	0.91	yes	A463BM739-001
AANAT	15	7	0.0518	0.1084	0.2199	0.19	no	A463BM739-001
AAR2	25980	607	3.156	9.4018	13.3984	0.55	yes	A463BM739-001
AARD	441376	1	0.0087	0.0155	0.0368	0.14	no	A463BM739-001
AARS	16	4992	22.3276	77.3206	94.789	0.91	yes	A463BM739-001
AARS2	57505	1249	4.0195	19.3456	17.0641	0.6	yes	A463BM739-001
AARSD1	80755	0	0	0	0	0	no	A463BM739-001
AASDH	132949	1796	6.5377	27.8181	27.7551	0.7	yes	A463BM739-001
AASDHPPT	60496	896	4.8508	13.8781	20.5933	0.64	yes	A463BM739-001
AASS	10157	3553	8.7673	55.0321	37.2202	0.76	yes	A463BM739-001
AATF	26574	2031	14.6931	31.458	62.3776	0.85	yes	A463BM739-001
AATK	9625	1176	1.8494	18.2149	7.8515	0.47	yes	A463BM739-001
PVALEF	388428	0	0	0	0	0	no	A463BM739-001
ABAT	18	723	1.8645	11.1985	7.9157	0.47	yes	A463BM739-001
ABCA1	19	13350	18.4986	206.7768	78.5331	0.89	yes	A463BM739-001
ABCA10	10349	4416	10.4061	68.399	44.1775	0.79	yes	A463BM739-001
ABCA11P	79963	310	1.2669	4.8016	5.3785	0.42	yes	A463BM739-001
ABCA12	26154	156	0.2579	2.4163	1.0948	0.28	no	A463BM739-001
ABCA13	154664	1011	0.8858	15.6593	3.7606	0.38	yes	A463BM739-001
ABCA2	20	6968	12.9099	107.9267	54.8072	0.83	yes	A463BM739-001
ABCA3	21	839	1.9553	12.9952	8.3011	0.48	yes	A463BM739-001
ABCA4	24	51	0.1078	0.7899	0.4578	0.22	no	A463BM739-001
ABCA5	23461	4871	7.9392	75.4464	33.7049	0.74	yes	A463BM739-001
ABCA6	23460	7800	22.8122	120.8134	96.8461	0.91	yes	A463BM739-001
ABCA7	10347	4239	9.6286	65.6574	40.8769	0.78	yes	A463BM739-001
ABCA8	10351	3827	9.1461	59.276	38.8286	0.77	yes	A463BM739-001
ABCA9	10350	5089	11.1474	78.823	47.3246	0.81	yes	A463BM739-001
ABCB1	5243	1348	4.4273	20.879	18.7954	0.62	yes	A463BM739-001
ABCB10	23456	1187	4.7667	18.3853	20.2366	0.63	yes	A463BM739-001
ABCB11	8647	29	0.0635	0.4492	0.2698	0.2	no	A463BM739-001
ABCB4	5244	547	2.1245	8.4724	9.0192	0.49	yes	A463BM739-001
ABCB5	340273	74	0.1476	1.1462	0.6267	0.24	no	A463BM739-001
ABCB6	10058	746	3.6705	11.5547	15.5826	0.58	yes	A463BM739-001
ABCB7	22	1953	11.9659	30.2498	50.7997	0.82	yes	A463BM739-001
ABCB8	11194	1531	4.6561	23.7135	19.7668	0.63	yes	A463BM739-001
ABCB9	23457	228	0.9034	3.5315	3.8353	0.38	yes	A463BM739-001
ABCC1	4363	7681	18.0422	118.9702	76.5957	0.88	yes	A463BM739-001
ABCC10	89845	2773	7.1347	42.9507	30.2893	0.72	yes	A463BM739-001
ABCC11	85320	37	0.1117	0.5731	0.4742	0.23	no	A463BM739-001
ABCC12	94160	0	0	0	0	0	no	A463BM739-001
ABCC13	150000	8	0.042	0.1239	0.1781	0.18	no	A463BM739-001
ABCC2	1244	296	0.9066	4.5847	3.8489	0.38	yes	A463BM739-001
ABCC3	8714	11607	34.0234	179.7797	144.4418	0.95	yes	A463BM739-001
ABCC4	10257	2969	7.1574	45.9865	30.3859	0.72	yes	A463BM739-001
ABCC5	10057	4589	8.9049	71.0786	37.8044	0.76	yes	A463BM739-001
ABCC6	368	896	2.1804	13.8781	9.2565	0.49	yes	A463BM739-001
ABCC6P1	653190	58	0.3293	0.8984	1.398	0.29	no	A463BM739-001
ABCC6P2	730013	20	0.4388	0.3098	1.8628	0.31	no	A463BM739-001
ABCC8	6833	3380	10.5104	52.3525	44.6206	0.79	yes	A463BM739-001
ABCC9	10060	8192	13.2559	126.8851	56.276	0.84	yes	A463BM739-001
ABCD1	215	1544	3.2635	23.9149	13.8547	0.56	yes	A463BM739-001
ABCD2	225	167	0.4843	2.5866	2.056	0.32	yes	A463BM739-001
ABCD3	5825	3981	15.5868	61.6613	66.1716	0.86	yes	A463BM739-001
ABCD4	5826	2048	7.4744	31.7213	31.7315	0.73	yes	A463BM739-001
ABCE1	6059	4867	17.9744	75.3845	76.3077	0.88	yes	A463BM739-001
ABCF1	23	2770	1.8416	42.9043	7.8184	0.47	yes	A463BM739-001
ABCF2	10061	1828	5.5074	28.3137	23.3811	0.66	yes	A463BM739-001
ABCF3	55324	2387	14.1927	36.972	60.2532	0.85	yes	A463BM739-001
ABCG1	9619	2780	3.9777	43.0591	16.887	0.6	yes	A463BM739-001
ABCG2	9429	443	1.4035	6.8616	5.9583	0.43	yes	A463BM739-001
ABCG4	64137	34	0.1338	0.5266	0.568	0.23	no	A463BM739-001
ABCG5	64240	20	0.1032	0.3098	0.4381	0.22	no	A463BM739-001
ABCG8	64241	3	0.0155	0.0465	0.0656	0.15	no	A463BM739-001
ABHD1	84696	24	0.2487	0.3717	1.0556	0.27	no	A463BM739-001
ABHD10	55347	482	2.6606	7.4656	11.2952	0.52	yes	A463BM739-001
ABHD11	83451	870	4.0934	13.4753	17.3778	0.6	yes	A463BM739-001
ABHD12	26090	1569	8.4765	24.3021	35.9858	0.75	yes	A463BM739-001
ABHD12B	145447	10	0.0386	0.1549	0.164	0.18	no	A463BM739-001
ABHD13	84945	787	2.2991	12.1898	9.7605	0.5	yes	A463BM739-001
ABHD14A	25864	314	3.6568	4.8635	15.5244	0.58	yes	A463BM739-001
ABHD14A-ACY1	100526760	0	0	0	0	0	no	A463BM739-001
ABHD14B	84836	966	6.1396	14.9623	26.065	0.68	yes	A463BM739-001
ABHD15	116236	405	1.8642	6.273	7.9142	0.47	yes	A463BM739-001
ABHD16A	7920	1411	1.263	21.8548	5.3619	0.42	yes	A463BM739-001
ABHD16B	140701	16	0.1395	0.2478	0.5924	0.24	no	A463BM739-001
ABHD17A	81926	990	8.9359	15.334	37.9362	0.76	yes	A463BM739-001
ABHD17B	51104	503	2.3899	7.7909	10.1458	0.51	yes	A463BM739-001
ABHD17C	58489	853	5.5583	13.212	23.5969	0.66	yes	A463BM739-001
ABHD2	11057	9736	16.4073	150.7999	69.6552	0.87	yes	A463BM739-001
ABHD3	171586	1200	7.4228	18.5867	31.5125	0.72	yes	A463BM739-001
ABHD4	63874	973	5.5776	15.0707	23.679	0.66	yes	A463BM739-001
ABHD5	51099	1372	3.9699	21.2508	16.8536	0.6	yes	A463BM739-001
ABHD6	57406	265	1.6491	4.1046	7.0009	0.45	yes	A463BM739-001
ABHD8	79575	210	1.5563	3.2527	6.6071	0.44	yes	A463BM739-001
ABI1	10006	4981	20.4317	77.1502	86.7402	0.9	yes	A463BM739-001
ABI2	10152	3466	7.3976	53.6845	31.4056	0.72	yes	A463BM739-001
ABI3	51225	877	6.3774	13.5838	27.0742	0.69	yes	A463BM739-001
ABI3BP	25890	5244	10.7283	81.2238	45.5455	0.8	yes	A463BM739-001
ABL1	25	36237	80.5845	561.2713	342.1108	0.98	yes	A463BM739-001
ABL2	27	4985	6.1042	77.2122	25.9146	0.68	yes	A463BM739-001
ABLIM1	3983	3987	6.3325	61.7542	26.8837	0.69	yes	A463BM739-001
ABLIM2	84448	1019	2.964	15.7832	12.5832	0.54	yes	A463BM739-001
ABLIM3	22885	3157	10.6649	48.8985	45.2763	0.8	yes	A463BM739-001
ABO	28	2913	12.9952	45.1192	55.1692	0.83	yes	A463BM739-001
ABR	29	10832	25.6107	167.7758	108.7268	0.93	yes	A463BM739-001
ABRA	137735	5	0.0281	0.0774	0.1194	0.17	no	A463BM739-001
