Gene Symbol	NCBI Gene ID	RNA-Seq Raw Counts	FPKM	CPM	TPM	Percentile Rank	Is Expressed	sample
A1BG	1	99	0.839	1.5547	3.0135	0.39	yes	A686BN846-001
A1BG-AS1	503538	139	1.0248	2.1829	3.6809	0.41	yes	A686BN846-001
A1CF	29974	681	1.1223	10.6944	4.031	0.42	yes	A686BN846-001
A2M	2	27651	93.3229	434.2317	335.19	0.98	yes	A686BN846-001
A2M-AS1	144571	126	0.9048	1.9787	3.2496	0.4	yes	A686BN846-001
A2ML1	144568	10	0.0288	0.157	0.1035	0.18	no	A686BN846-001
A3GALT2	127550	28	0.4298	0.4397	1.5438	0.33	no	A686BN846-001
A4GALT	53947	959	4.9507	15.0601	17.7817	0.65	yes	A686BN846-001
A4GNT	51146	284	2.5183	4.4599	9.0451	0.53	yes	A686BN846-001
AAAS	8086	1141	9.7541	17.9183	35.034	0.8	yes	A686BN846-001
AACS	65985	1407	6.6373	22.0955	23.8393	0.72	yes	A686BN846-001
AADAC	13	2860	26.4508	44.9135	95.0039	0.94	yes	A686BN846-001
AADACL2	344752	5	0.0262	0.0785	0.094	0.18	no	A686BN846-001
AADACL3	126767	0	0	0	0	0	no	A686BN846-001
AADACL4	343066	14	0.1396	0.2199	0.5014	0.25	no	A686BN846-001
AADAT	51166	370	2.0715	5.8105	7.4402	0.5	yes	A686BN846-001
PRXL2C	195827	879	8.3508	13.8038	29.9936	0.76	yes	A686BN846-001
AAGAB	79719	1423	6.3684	22.3468	22.8736	0.71	yes	A686BN846-001
AAK1	22848	5793	4.1712	90.9733	14.9817	0.62	yes	A686BN846-001
AAMDC	28971	283	7.3216	4.4442	26.2973	0.74	yes	A686BN846-001
AAMP	14	2776	24.273	43.5943	87.1819	0.93	yes	A686BN846-001
AANAT	15	4	0.03	0.0628	0.1078	0.18	no	A686BN846-001
AAR2	25980	575	3.0312	9.0298	10.8871	0.56	yes	A686BN846-001
AARD	441376	1	0.0088	0.0157	0.0316	0.15	no	A686BN846-001
AARS	16	7066	32.0429	110.9646	115.0891	0.95	yes	A686BN846-001
AARS2	57505	1073	3.501	16.8504	12.5747	0.59	yes	A686BN846-001
AARSD1	80755	1	0.0115	0.0157	0.0414	0.15	no	A686BN846-001
AASDH	132949	1794	6.6212	28.173	23.7813	0.72	yes	A686BN846-001
AASDHPPT	60496	1288	7.0698	20.2268	25.3928	0.73	yes	A686BN846-001
AASS	10157	6433	16.0943	101.0239	57.8062	0.88	yes	A686BN846-001
AATF	26574	2033	14.9118	31.9263	53.5592	0.87	yes	A686BN846-001
AATK	9625	2053	3.2735	32.2403	11.7574	0.57	yes	A686BN846-001
PVALEF	388428	7	0.0697	0.1099	0.2504	0.21	no	A686BN846-001
ABAT	18	1221	3.1926	19.1746	11.4668	0.57	yes	A686BN846-001
ABCA1	19	7729	10.8585	121.3763	39.0007	0.82	yes	A686BN846-001
ABCA10	10349	4175	9.9748	65.5643	35.8266	0.8	yes	A686BN846-001
ABCA11P	79963	355	1.471	5.5749	5.2833	0.45	yes	A686BN846-001
ABCA12	26154	187	0.3134	2.9367	1.1257	0.31	no	A686BN846-001
ABCA13	154664	213	0.1892	3.345	0.6796	0.27	no	A686BN846-001
ABCA2	20	8993	16.8931	141.2262	60.6752	0.89	yes	A686BN846-001
ABCA3	21	1744	4.1209	27.3878	14.8013	0.62	yes	A686BN846-001
ABCA4	24	24	0.0514	0.3769	0.1848	0.2	no	A686BN846-001
ABCA5	23461	12997	21.478	204.1051	77.1428	0.92	yes	A686BN846-001
ABCA6	23460	12574	37.2852	197.4623	133.9179	0.96	yes	A686BN846-001
ABCA7	10347	2903	6.6855	45.5887	24.0126	0.72	yes	A686BN846-001
ABCA8	10351	7303	17.6958	114.6864	63.5583	0.89	yes	A686BN846-001
ABCA9	10350	5238	11.6331	82.2576	41.7828	0.83	yes	A686BN846-001
ABCB1	5243	1863	6.2037	29.2566	22.2819	0.7	yes	A686BN846-001
ABCB10	23456	1177	4.7922	18.4836	17.2123	0.65	yes	A686BN846-001
ABCB11	8647	9	0.02	0.1413	0.0718	0.17	no	A686BN846-001
ABCB4	5244	170	0.6694	2.6697	2.4044	0.37	yes	A686BN846-001
ABCB5	340273	90	0.182	1.4134	0.6538	0.27	no	A686BN846-001
ABCB6	10058	1146	5.7169	17.9968	20.5335	0.69	yes	A686BN846-001
ABCB7	22	2131	13.2378	33.4653	47.5466	0.85	yes	A686BN846-001
ABCB8	11194	1129	3.4812	17.7298	12.5036	0.59	yes	A686BN846-001
ABCB9	23457	403	1.619	6.3287	5.815	0.47	yes	A686BN846-001
ABCC1	4363	7375	17.564	115.8171	63.085	0.89	yes	A686BN846-001
ABCC10	89845	2297	5.992	36.0721	21.5218	0.7	yes	A686BN846-001
ABCC11	85320	24	0.0735	0.3769	0.2638	0.22	no	A686BN846-001
ABCC12	94160	2	0.006	0.0314	0.0217	0.14	no	A686BN846-001
ABCC13	150000	3	0.016	0.0471	0.0573	0.16	no	A686BN846-001
ABCC2	1244	546	1.6955	8.5744	6.0899	0.47	yes	A686BN846-001
ABCC3	8714	19423	57.725	305.019	207.3322	0.98	yes	A686BN846-001
ABCC4	10257	1926	4.7075	30.2459	16.9082	0.64	yes	A686BN846-001
ABCC5	10057	2576	5.0681	40.4535	18.2032	0.66	yes	A686BN846-001
ABCC6	368	1540	3.7996	24.1842	13.6469	0.6	yes	A686BN846-001
ABCC6P1	653190	136	0.7829	2.1357	2.812	0.38	yes	A686BN846-001
ABCC6P2	730013	7	0.1557	0.1099	0.5593	0.26	no	A686BN846-001
ABCC8	6833	5462	17.2205	85.7753	61.8512	0.89	yes	A686BN846-001
ABCC9	10060	7432	12.1931	116.7122	43.7942	0.84	yes	A686BN846-001
ABCD1	215	1283	2.7495	20.1482	9.8754	0.54	yes	A686BN846-001
ABCD2	225	142	0.4175	2.23	1.4996	0.33	no	A686BN846-001
ABCD3	5825	5745	22.8058	90.2196	81.9119	0.92	yes	A686BN846-001
ABCD4	5826	1342	4.9658	21.0748	17.8357	0.66	yes	A686BN846-001
ABCE1	6059	6088	22.7959	95.606	81.8765	0.92	yes	A686BN846-001
ABCF1	23	2943	1.9838	46.2169	7.1253	0.49	yes	A686BN846-001
ABCF2	10061	2040	6.2315	32.0362	22.3818	0.7	yes	A686BN846-001
ABCF3	55324	2519	15.1856	39.5584	54.5423	0.87	yes	A686BN846-001
ABCG1	9619	1315	1.9077	20.6508	6.8519	0.49	yes	A686BN846-001
ABCG2	9429	189	0.6071	2.9681	2.1805	0.36	yes	A686BN846-001
ABCG4	64137	11	0.0439	0.1727	0.1576	0.19	no	A686BN846-001
ABCG5	64240	2	0.0105	0.0314	0.0376	0.15	no	A686BN846-001
ABCG8	64241	13	0.0679	0.2042	0.2439	0.21	no	A686BN846-001
ABHD1	84696	20	0.2101	0.3141	0.7546	0.28	no	A686BN846-001
ABHD10	55347	518	2.899	8.1347	10.4125	0.55	yes	A686BN846-001
ABHD11	83451	387	1.8461	6.0775	6.6308	0.48	yes	A686BN846-001
ABHD12	26090	2374	13.0036	37.2813	46.7053	0.85	yes	A686BN846-001
ABHD12B	145447	1	0.0039	0.0157	0.0141	0.14	no	A686BN846-001
ABHD13	84945	902	2.6716	14.165	9.5958	0.54	yes	A686BN846-001
ABHD14A	25864	513	6.0573	8.0562	21.756	0.7	yes	A686BN846-001
ABHD14A-ACY1	100526760	0	0	0	0	0	no	A686BN846-001
ABHD14B	84836	683	4.4012	10.7258	15.8081	0.63	yes	A686BN846-001
ABHD15	116236	327	1.5261	5.1352	5.4812	0.46	yes	A686BN846-001
ABHD16A	7920	1259	1.1426	19.7714	4.1039	0.42	yes	A686BN846-001
ABHD16B	140701	11	0.0973	0.1727	0.3494	0.23	no	A686BN846-001
ABHD17A	81926	819	7.4951	12.8616	26.9203	0.74	yes	A686BN846-001
ABHD17B	51104	526	2.5338	8.2603	9.1008	0.53	yes	A686BN846-001
ABHD17C	58489	292	1.9291	4.5856	6.9289	0.49	yes	A686BN846-001
ABHD2	11057	7461	12.7481	117.1676	45.7876	0.84	yes	A686BN846-001
ABHD3	171586	936	5.8702	14.699	21.0841	0.69	yes	A686BN846-001
ABHD4	63874	960	5.5795	15.0759	20.0401	0.68	yes	A686BN846-001
ABHD5	51099	1064	3.1214	16.7091	11.2113	0.57	yes	A686BN846-001
ABHD6	57406	295	1.8613	4.6327	6.6851	0.49	yes	A686BN846-001
ABHD8	79575	314	2.3594	4.9311	8.4742	0.52	yes	A686BN846-001
ABI1	10006	3437	14.2941	53.9747	51.3406	0.86	yes	A686BN846-001
ABI2	10152	2706	5.8557	42.4951	21.0322	0.69	yes	A686BN846-001
ABI3	51225	653	4.8144	10.2547	17.2921	0.65	yes	A686BN846-001
ABI3BP	25890	18946	39.2984	297.5282	141.1489	0.96	yes	A686BN846-001
ABL1	25	30205	68.1033	474.3397	244.6082	0.98	yes	A686BN846-001
ABL2	27	4074	5.058	63.9781	18.1668	0.66	yes	A686BN846-001
ABLIM1	3983	4597	7.4027	72.1913	26.5885	0.74	yes	A686BN846-001
ABLIM2	84448	704	2.0762	11.0556	7.457	0.5	yes	A686BN846-001
ABLIM3	22885	1527	5.2301	23.98	18.7851	0.67	yes	A686BN846-001
ABO	28	2176	9.8421	34.1719	35.3502	0.8	yes	A686BN846-001
ABR	29	5889	14.1171	92.4809	50.7046	0.86	yes	A686BN846-001
ABRA	137735	2	0.0114	0.0314	0.041	0.15	no	A686BN846-001
ABRACL	58527	404	7.5082	6.3444	26.9673	0.74	yes	A686BN846-001
ABT1	29777	477	1.6543	7.4908	5.9419	0.47	yes	A686BN846-001
ABTB1	80325	1431	11.114	22.4724	39.9183	0.82	yes	A686BN846-001
ABTB2	25841	810	2.5944	12.7203	9.3183	0.53	yes	A686BN846-001
ACAA1	30	1642	12.9773	25.786	46.611	0.85	yes	A686BN846-001
