Gene Symbol	NCBI Gene ID	RNA-Seq Raw Counts	FPKM	CPM	TPM	Percentile Rank	Is Expressed	sample
A1BG	1	147	1.1602	2.1498	3.8907	0.42	yes	A799BS693-001
A1BG-AS1	503538	162	1.1123	2.3691	3.7301	0.42	yes	A799BS693-001
A1CF	29974	738	1.1326	10.7927	3.7983	0.42	yes	A799BS693-001
A2M	2	40259	126.5335	588.7602	424.3389	0.99	yes	A799BS693-001
A2M-AS1	144571	51	0.341	0.7458	1.1437	0.31	no	A799BS693-001
A2ML1	144568	7	0.0188	0.1024	0.063	0.16	no	A799BS693-001
A3GALT2	127550	33	0.4718	0.4826	1.5821	0.33	no	A799BS693-001
A4GALT	53947	1459	7.0141	21.3369	23.5223	0.74	yes	A799BS693-001
A4GNT	51146	283	2.3369	4.1387	7.837	0.53	yes	A799BS693-001
AAAS	8086	987	7.8575	14.4342	26.3506	0.77	yes	A799BS693-001
AACS	65985	1504	6.6071	21.995	22.1573	0.73	yes	A799BS693-001
AADAC	13	496	4.2719	7.2537	14.3261	0.64	yes	A799BS693-001
AADACL2	344752	6	0.0292	0.0877	0.0981	0.17	no	A799BS693-001
AADACL3	126767	1	0.0036	0.0146	0.0121	0.13	no	A799BS693-001
AADACL4	343066	7	0.065	0.1024	0.218	0.21	no	A799BS693-001
AADAT	51166	431	2.2471	6.3031	7.5358	0.52	yes	A799BS693-001
PRXL2C	195827	722	6.3876	10.5588	21.4214	0.72	yes	A799BS693-001
AAGAB	79719	1351	5.6305	19.7574	18.8823	0.7	yes	A799BS693-001
AAK1	22848	5824	3.9052	85.172	13.0963	0.62	yes	A799BS693-001
AAMDC	28971	230	5.5413	3.3636	18.5833	0.69	yes	A799BS693-001
AAMP	14	2940	23.9396	42.9955	80.2831	0.94	yes	A799BS693-001
AANAT	15	4	0.0279	0.0585	0.0937	0.17	no	A799BS693-001
AAR2	25980	579	2.8424	8.4675	9.5322	0.56	yes	A799BS693-001
AARD	441376	9	0.0737	0.1316	0.2471	0.21	no	A799BS693-001
AARS	16	5642	23.8263	82.5104	79.9031	0.93	yes	A799BS693-001
AARS2	57505	1650	5.0135	24.1301	16.8132	0.67	yes	A799BS693-001
AARSD1	80755	0	0	0	0	0	no	A799BS693-001
AASDH	132949	1238	4.255	18.1049	14.2693	0.64	yes	A799BS693-001
AASDHPPT	60496	759	3.8797	11.0999	13.0109	0.62	yes	A799BS693-001
AASS	10157	3814	8.886	55.7771	29.7997	0.79	yes	A799BS693-001
AATF	26574	1650	11.2705	24.1301	37.7964	0.84	yes	A799BS693-001
AATK	9625	2798	4.1546	40.9188	13.9328	0.63	yes	A799BS693-001
PVALEF	388428	7	0.0649	0.1024	0.2177	0.21	no	A799BS693-001
ABAT	18	1694	4.1248	24.7736	13.8328	0.63	yes	A799BS693-001
ABCA1	19	5762	7.5385	84.2653	25.2809	0.76	yes	A799BS693-001
ABCA10	10349	2908	6.47	42.5275	21.6977	0.73	yes	A799BS693-001
ABCA11P	79963	331	1.2772	4.8406	4.2832	0.44	yes	A799BS693-001
ABCA12	26154	101	0.1576	1.4771	0.5286	0.25	no	A799BS693-001
ABCA13	154664	344	0.2846	5.0308	0.9544	0.29	no	A799BS693-001
ABCA2	20	8844	15.471	129.3374	51.883	0.89	yes	A799BS693-001
ABCA3	21	2094	4.6078	30.6233	15.4525	0.66	yes	A799BS693-001
ABCA4	24	33	0.0659	0.4826	0.2209	0.21	no	A799BS693-001
ABCA5	23461	6863	10.5616	100.3667	35.419	0.83	yes	A799BS693-001
ABCA6	23460	4090	11.2941	59.8134	37.8755	0.84	yes	A799BS693-001
ABCA7	10347	2544	5.456	37.2042	18.297	0.69	yes	A799BS693-001
ABCA8	10351	7677	17.3231	112.2708	58.0941	0.9	yes	A799BS693-001
ABCA9	10350	2632	5.4435	38.4912	18.2553	0.69	yes	A799BS693-001
ABCB1	5243	2782	8.627	40.6848	28.9312	0.79	yes	A799BS693-001
ABCB10	23456	1211	4.5917	17.71	15.3985	0.66	yes	A799BS693-001
ABCB11	8647	10	0.0207	0.1462	0.0694	0.16	no	A799BS693-001
ABCB4	5244	211	0.7738	3.0857	2.5948	0.38	yes	A799BS693-001
ABCB5	340273	61	0.1149	0.8921	0.3853	0.24	no	A799BS693-001
ABCB6	10058	1040	4.8314	15.2093	16.2025	0.67	yes	A799BS693-001
ABCB7	22	1898	10.9798	27.7569	36.8215	0.83	yes	A799BS693-001
ABCB8	11194	1635	4.6948	23.9107	15.7444	0.66	yes	A799BS693-001
ABCB9	23457	307	1.1485	4.4897	3.8517	0.42	yes	A799BS693-001
ABCC1	4363	5931	13.1539	86.7368	44.1125	0.86	yes	A799BS693-001
ABCC10	89845	2645	6.4255	38.6813	21.5483	0.72	yes	A799BS693-001
ABCC11	85320	43	0.1226	0.6288	0.411	0.24	no	A799BS693-001
ABCC12	94160	23	0.0647	0.3364	0.2168	0.21	no	A799BS693-001
ABCC13	150000	7	0.0347	0.1024	0.1163	0.18	no	A799BS693-001
ABCC2	1244	542	1.5674	7.9264	5.2564	0.47	yes	A799BS693-001
ABCC3	8714	17472	48.3565	255.516	162.1671	0.97	yes	A799BS693-001
ABCC4	10257	2146	4.8846	31.3838	16.381	0.67	yes	A799BS693-001
ABCC5	10057	2368	4.3386	34.6304	14.5497	0.64	yes	A799BS693-001
ABCC6	368	1450	3.3315	21.2053	11.1726	0.59	yes	A799BS693-001
ABCC6P1	653190	103	0.5522	1.5063	1.8517	0.35	no	A799BS693-001
ABCC6P2	730013	16	0.3314	0.234	1.1115	0.3	no	A799BS693-001
ABCC8	6833	4764	13.9872	69.6702	46.907	0.87	yes	A799BS693-001
ABCC9	10060	6025	9.2051	88.1115	30.87	0.8	yes	A799BS693-001
ABCD1	215	1239	2.4726	18.1195	8.2922	0.54	yes	A799BS693-001
ABCD2	225	75	0.2054	1.0968	0.6887	0.27	no	A799BS693-001
ABCD3	5825	4622	17.0863	67.5936	57.3003	0.9	yes	A799BS693-001
ABCD4	5826	1863	6.4197	27.2451	21.5288	0.72	yes	A799BS693-001
ABCE1	6059	5244	18.2856	76.6899	61.3221	0.91	yes	A799BS693-001
ABCF1	23	2514	1.5781	36.7655	5.2923	0.47	yes	A799BS693-001
ABCF2	10061	2075	5.9026	30.3454	19.7949	0.71	yes	A799BS693-001
ABCF3	55324	2245	12.6033	32.8316	42.266	0.86	yes	A799BS693-001
ABCG1	9619	1086	1.4672	15.882	4.9202	0.46	yes	A799BS693-001
ABCG2	9429	810	2.4229	11.8457	8.1255	0.53	yes	A799BS693-001
ABCG4	64137	29	0.1078	0.4241	0.3613	0.23	no	A799BS693-001
ABCG5	64240	98	0.4774	1.4332	1.601	0.33	no	A799BS693-001
ABCG8	64241	95	0.462	1.3893	1.5494	0.33	no	A799BS693-001
ABHD1	84696	17	0.1663	0.2486	0.5577	0.26	no	A799BS693-001
ABHD10	55347	343	1.7876	5.0161	5.995	0.48	yes	A799BS693-001
ABHD11	83451	686	3.0475	10.0323	10.2199	0.57	yes	A799BS693-001
ABHD12	26090	2962	15.1089	43.3172	50.6688	0.89	yes	A799BS693-001
ABHD12B	145447	4	0.0146	0.0585	0.0489	0.15	no	A799BS693-001
ABHD13	84945	646	1.7818	9.4473	5.9755	0.48	yes	A799BS693-001
ABHD14A	25864	409	4.4973	5.9813	15.0818	0.65	yes	A799BS693-001
ABHD14A-ACY1	100526760	0	0	0	0	0	no	A799BS693-001
ABHD14B	84836	1129	6.7751	16.5108	22.7207	0.74	yes	A799BS693-001
ABHD15	116236	367	1.595	5.3671	5.3489	0.47	yes	A799BS693-001
ABHD16A	7920	1738	1.4689	25.4171	4.9259	0.46	yes	A799BS693-001
ABHD16B	140701	12	0.0988	0.1755	0.3314	0.23	no	A799BS693-001
ABHD17A	81926	1241	10.5762	18.1488	35.4681	0.83	yes	A799BS693-001
ABHD17B	51104	412	1.8482	6.0252	6.1982	0.49	yes	A799BS693-001
ABHD17C	58489	434	2.6702	6.347	8.9545	0.55	yes	A799BS693-001
ABHD2	11057	7886	12.5479	115.3273	42.0801	0.86	yes	A799BS693-001
ABHD3	171586	984	5.7469	14.3903	19.2727	0.7	yes	A799BS693-001
ABHD4	63874	703	3.8049	10.2809	12.7601	0.62	yes	A799BS693-001
ABHD5	51099	877	2.396	12.8255	8.035	0.53	yes	A799BS693-001
ABHD6	57406	335	1.9683	4.8991	6.6009	0.5	yes	A799BS693-001
ABHD8	79575	454	3.1768	6.6394	10.6535	0.58	yes	A799BS693-001
ABI1	10006	3320	12.8582	48.5527	43.121	0.86	yes	A799BS693-001
ABI2	10152	2725	5.4914	39.8512	18.4159	0.69	yes	A799BS693-001
ABI3	51225	883	6.0626	12.9133	20.3312	0.71	yes	A799BS693-001
ABI3BP	25890	19205	37.0968	280.8599	124.4067	0.96	yes	A799BS693-001
ABL1	25	53535	112.4067	782.9125	376.9637	0.99	yes	A799BS693-001
ABL2	27	4993	5.7727	73.0192	19.3592	0.7	yes	A799BS693-001
ABLIM1	3983	4584	6.8743	67.0378	23.0533	0.74	yes	A799BS693-001
ABLIM2	84448	816	2.241	11.9334	7.5154	0.52	yes	A799BS693-001
ABLIM3	22885	1321	4.2135	19.3187	14.1301	0.64	yes	A799BS693-001
ABO	28	2241	9.4393	32.7731	31.6552	0.81	yes	A799BS693-001
ABR	29	9560	21.3415	139.8084	71.5704	0.92	yes	A799BS693-001
ABRA	137735	30	0.1593	0.4387	0.5342	0.25	no	A799BS693-001
ABRACL	58527	441	7.6323	6.4493	25.5956	0.76	yes	A799BS693-001
ABT1	29777	563	1.8183	8.2335	6.098	0.49	yes	A799BS693-001
ABTB1	80325	1915	13.8504	28.0056	46.4484	0.87	yes	A799BS693-001
ABTB2	25841	1374	4.0983	20.0938	13.7438	0.63	yes	A799BS693-001
ACAA1	30	1945	14.3152	28.4443	48.007	0.88	yes	A799BS693-001
ACAA2	10449	1957	14.389	28.6198	48.2546	0.88	yes	A799BS693-001
ACACA	31	5660	7.2266	82.7736	24.2349	0.75	yes	A799BS693-001
ACACB	32	10160	15.4404	148.583	51.7805	0.89	yes	A799BS693-001
ACAD10	80724	2219	7.2777	32.4513	24.4063	0.75	yes	A799BS693-001
ACAD11	84129	83	0.3253	1.2138	1.091	0.3	no	A799BS693-001
ACAD8	27034	1270	4.9278	18.5729	16.5257	0.67	yes	A799BS693-001
ACAD9	28976	2227	11.8387	32.5683	39.702	0.85	yes	A799BS693-001
ACADL	33	874	3.8453	12.7816	12.8954	0.62	yes	A799BS693-001
ACADM	34	2234	12.4745	32.6707	41.8341	0.86	yes	A799BS693-001
ACADS	35	875	6.1402	12.7963	20.5917	0.71	yes	A799BS693-001
ACADSB	36	1305	3.2124	19.0847	10.7729	0.58	yes	A799BS693-001
ACADVL	37	21107	104.7778	308.6753	351.3797	0.99	yes	A799BS693-001
ACAN	176	796	1.3168	11.641	4.4161	0.44	yes	A799BS693-001
ACAP1	9744	493	2.8701	7.2098	9.6252	0.56	yes	A799BS693-001
ACAP2	23527	3180	6.3925	46.5053	21.4376	0.72	yes	A799BS693-001
ACAP3	116983	4881	17.8856	71.3813	59.9805	0.91	yes	A799BS693-001
