Gene Symbol	NCBI Gene ID	RNA-Seq Raw Counts	FPKM	CPM	TPM	Percentile Rank	Is Expressed	sample
A1BG	1	232	2.5024	4.6369	8.3438	0.54	yes	A839BQ243-001
A1BG-AS1	503538	361	3.3874	7.2151	11.2948	0.59	yes	A839BQ243-001
A1CF	29974	0	0	0	0	0	no	A839BQ243-001
A2M	2	6835	29.3591	136.6081	97.8937	0.94	yes	A839BQ243-001
A2M-AS1	144571	271	2.4766	5.4164	8.2579	0.54	yes	A839BQ243-001
A2ML1	144568	0	0	0	0	0	no	A839BQ243-001
A3GALT2	127550	28	0.547	0.5596	1.824	0.37	no	A839BQ243-001
A4GALT	53947	658	4.3232	13.1512	14.415	0.63	yes	A839BQ243-001
A4GNT	51146	4	0.0451	0.0799	0.1505	0.22	no	A839BQ243-001
AAAS	8086	1059	11.5219	21.1658	38.4181	0.81	yes	A839BQ243-001
AACS	65985	578	3.4702	11.5522	11.5708	0.59	yes	A839BQ243-001
AADAC	13	106	1.2477	2.1186	4.1602	0.45	yes	A839BQ243-001
AADACL2	344752	0	0	0	0	0	no	A839BQ243-001
AADACL3	126767	0	0	0	0	0	no	A839BQ243-001
AADACL4	343066	3	0.0381	0.06	0.1269	0.21	no	A839BQ243-001
AADAT	51166	52	0.3705	1.0393	1.2354	0.34	no	A839BQ243-001
PRXL2C	195827	197	2.3819	3.9374	7.9422	0.54	yes	A839BQ243-001
AAGAB	79719	1037	5.9065	20.7261	19.6945	0.69	yes	A839BQ243-001
AAK1	22848	7824	7.1699	156.3748	23.9069	0.73	yes	A839BQ243-001
AAMDC	28971	54	1.778	1.0793	5.9286	0.5	yes	A839BQ243-001
AAMP	14	2105	23.4252	42.0717	78.1079	0.91	yes	A839BQ243-001
AANAT	15	8	0.0764	0.1599	0.2547	0.24	no	A839BQ243-001
AAR2	25980	533	3.576	10.6528	11.9236	0.6	yes	A839BQ243-001
AARD	441376	10	0.1119	0.1999	0.3731	0.26	no	A839BQ243-001
AARS	16	3279	18.9246	65.5359	63.1013	0.89	yes	A839BQ243-001
AARS2	57505	2462	10.2237	49.2069	34.0896	0.79	yes	A839BQ243-001
AARSD1	80755	2	0.0293	0.04	0.0977	0.21	no	A839BQ243-001
AASDH	132949	1146	5.383	22.9046	17.9488	0.67	yes	A839BQ243-001
AASDHPPT	60496	523	3.6536	10.453	12.1824	0.6	yes	A839BQ243-001
AASS	10157	1039	3.3083	20.766	11.0309	0.59	yes	A839BQ243-001
AATF	26574	3238	30.2272	64.7165	100.7881	0.94	yes	A839BQ243-001
AATK	9625	956	1.94	19.1071	6.4687	0.51	yes	A839BQ243-001
PVALEF	388428	0	0	0	0	0	no	A839BQ243-001
ABAT	18	600	1.9967	11.9919	6.6576	0.51	yes	A839BQ243-001
ABCA1	19	3185	5.6949	63.6572	18.9887	0.68	yes	A839BQ243-001
ABCA10	10349	1135	3.4512	22.6847	11.5075	0.59	yes	A839BQ243-001
ABCA11P	79963	815	4.2979	16.289	14.3307	0.63	yes	A839BQ243-001
ABCA12	26154	7	0.0149	0.1399	0.0498	0.18	no	A839BQ243-001
ABCA13	154664	95	0.1074	1.8987	0.3581	0.26	no	A839BQ243-001
ABCA2	20	8331	19.9172	166.508	66.411	0.9	yes	A839BQ243-001
ABCA3	21	1552	4.6673	31.0191	15.5625	0.65	yes	A839BQ243-001
ABCA4	24	42	0.1146	0.8394	0.3821	0.26	no	A839BQ243-001
ABCA5	23461	3095	6.5094	61.8584	21.7045	0.71	yes	A839BQ243-001
ABCA6	23460	1729	6.5251	34.5567	21.7569	0.71	yes	A839BQ243-001
ABCA7	10347	12889	37.7778	257.6067	125.9644	0.95	yes	A839BQ243-001
ABCA8	10351	503	1.5512	10.0532	5.1722	0.48	yes	A839BQ243-001
ABCA9	10350	879	2.4845	17.5682	8.2843	0.54	yes	A839BQ243-001
ABCB1	5243	1855	7.8615	37.0751	26.2132	0.74	yes	A839BQ243-001
ABCB10	23456	1060	5.4928	21.1857	18.3149	0.68	yes	A839BQ243-001
ABCB11	8647	215	0.6079	4.2971	2.0269	0.38	yes	A839BQ243-001
ABCB4	5244	3314	16.6087	66.2354	55.3792	0.87	yes	A839BQ243-001
ABCB5	340273	29	0.0747	0.5796	0.2489	0.24	no	A839BQ243-001
ABCB6	10058	431	2.7364	8.6142	9.1241	0.56	yes	A839BQ243-001
ABCB7	22	1943	15.3615	38.8339	51.2206	0.86	yes	A839BQ243-001
ABCB8	11194	1686	6.6164	33.6973	22.0614	0.71	yes	A839BQ243-001
ABCB9	23457	247	1.2629	4.9367	4.211	0.45	yes	A839BQ243-001
ABCC1	4363	10049	30.4587	200.8449	101.5601	0.94	yes	A839BQ243-001
ABCC10	89845	4588	15.2323	91.6983	50.7898	0.86	yes	A839BQ243-001
ABCC11	85320	22	0.0857	0.4397	0.2857	0.25	no	A839BQ243-001
ABCC12	94160	0	0	0	0	0	no	A839BQ243-001
ABCC13	150000	21	0.1421	0.4197	0.4739	0.28	no	A839BQ243-001
ABCC2	1244	297	1.1738	5.936	3.9139	0.45	yes	A839BQ243-001
ABCC3	8714	11132	42.1064	222.4903	140.3976	0.96	yes	A839BQ243-001
ABCC4	10257	1957	6.0877	39.1137	20.2986	0.7	yes	A839BQ243-001
ABCC5	10057	1927	4.8251	38.5141	16.0886	0.65	yes	A839BQ243-001
ABCC6	368	46	0.1444	0.9194	0.4816	0.28	no	A839BQ243-001
ABCC6P1	653190	7	0.0513	0.1399	0.171	0.23	no	A839BQ243-001
ABCC6P2	730013	3	0.0849	0.06	0.2832	0.25	no	A839BQ243-001
ABCC8	6833	49	0.1966	0.9793	0.6556	0.29	no	A839BQ243-001
ABCC9	10060	523	1.092	10.453	3.6412	0.44	yes	A839BQ243-001
ABCD1	215	1117	3.0465	22.325	10.1582	0.57	yes	A839BQ243-001
ABCD2	225	721	2.6981	14.4103	8.9963	0.55	yes	A839BQ243-001
ABCD3	5825	1386	7.0024	27.7014	23.3484	0.72	yes	A839BQ243-001
ABCD4	5826	2518	11.8582	50.3261	39.5394	0.81	yes	A839BQ243-001
ABCE1	6059	2671	12.7287	53.3841	42.4419	0.83	yes	A839BQ243-001
ABCF1	23	3614	3.1005	72.2314	10.338	0.58	yes	A839BQ243-001
ABCF2	10061	1818	7.0678	36.3355	23.5665	0.72	yes	A839BQ243-001
ABCF3	55324	3031	23.255	60.5792	77.5403	0.91	yes	A839BQ243-001
ABCG1	9619	1793	3.3105	35.8359	11.0383	0.59	yes	A839BQ243-001
ABCG2	9429	150	0.6132	2.998	2.0447	0.38	yes	A839BQ243-001
ABCG4	64137	3	0.0152	0.06	0.0508	0.19	no	A839BQ243-001
ABCG5	64240	0	0	0	0	0	no	A839BQ243-001
ABCG8	64241	0	0	0	0	0	no	A839BQ243-001
ABHD1	84696	37	0.4947	0.7395	1.6493	0.36	no	A839BQ243-001
ABHD10	55347	374	2.6639	7.475	8.8825	0.55	yes	A839BQ243-001
ABHD11	83451	360	2.1856	7.1952	7.2877	0.52	yes	A839BQ243-001
