Gene Symbol	NCBI Gene ID	RNA-Seq Raw Counts	FPKM	CPM	TPM	Percentile Rank	Is Expressed	sample
A1BG	1	230	1.6371	3.0336	6.2694	0.48	yes	BK00418BL01-7
A1BG-AS1	503538	502	3.1086	6.6212	11.904	0.57	yes	BK00418BL01-7
A1CF	29974	77	0.1066	1.0156	0.4081	0.26	no	BK00418BL01-7
A2M	2	13578	38.4892	179.0901	147.3917	0.95	yes	BK00418BL01-7
A2M-AS1	144571	24	0.1447	0.3166	0.5543	0.28	no	BK00418BL01-7
A2ML1	144568	422	1.0213	5.5661	3.911	0.43	yes	BK00418BL01-7
A3GALT2	127550	48	0.6189	0.6331	2.3699	0.38	yes	BK00418BL01-7
A4GALT	53947	2696	11.6895	35.5595	44.7642	0.82	yes	BK00418BL01-7
A4GNT	51146	3	0.0223	0.0396	0.0856	0.19	no	BK00418BL01-7
AAAS	8086	1650	11.8471	21.763	45.3675	0.82	yes	BK00418BL01-7
AACS	65985	1501	5.9471	19.7978	22.7739	0.69	yes	BK00418BL01-7
AADAC	13	294	2.2837	3.8778	8.7454	0.52	yes	BK00418BL01-7
AADACL2	344752	0	0	0	0	0	no	BK00418BL01-7
AADACL3	126767	0	0	0	0	0	no	BK00418BL01-7
AADACL4	343066	0	0	0	0	0	no	BK00418BL01-7
AADAT	51166	433	2.0361	5.7112	7.797	0.51	yes	BK00418BL01-7
PRXL2C	195827	551	4.3966	7.2675	16.8364	0.63	yes	BK00418BL01-7
AAGAB	79719	2025	7.6116	26.7092	29.1482	0.74	yes	BK00418BL01-7
AAK1	22848	7199	4.3536	94.9528	16.672	0.63	yes	BK00418BL01-7
AAMDC	28971	313	6.8013	4.1284	26.0451	0.72	yes	BK00418BL01-7
AAMP	14	4705	34.5533	62.0577	132.3194	0.95	yes	BK00418BL01-7
AANAT	15	5	0.0315	0.0659	0.1207	0.21	no	BK00418BL01-7
AAR2	25980	865	3.8298	11.4091	14.6661	0.61	yes	BK00418BL01-7
AARD	441376	1	0.0074	0.0132	0.0283	0.16	no	BK00418BL01-7
AARS	16	9223	35.1282	121.6489	134.521	0.95	yes	BK00418BL01-7
AARS2	57505	1983	5.4343	26.1552	20.8102	0.67	yes	BK00418BL01-7
AARSD1	80755	3	0.029	0.0396	0.1111	0.2	no	BK00418BL01-7
AASDH	132949	1462	4.5319	19.2834	17.3547	0.64	yes	BK00418BL01-7
AASDHPPT	60496	1037	4.7808	13.6777	18.3076	0.65	yes	BK00418BL01-7
AASS	10157	1903	3.9987	25.1001	15.3129	0.62	yes	BK00418BL01-7
AATF	26574	2382	14.6744	31.4179	56.1947	0.86	yes	BK00418BL01-7
AATK	9625	428	0.5732	5.6452	2.1949	0.37	yes	BK00418BL01-7
PVALEF	388428	0	0	0	0	0	no	BK00418BL01-7
ABAT	18	648	1.4231	8.5469	5.4495	0.46	yes	BK00418BL01-7
ABCA1	19	18280	21.5699	241.1082	82.6005	0.9	yes	BK00418BL01-7
ABCA10	10349	614	1.2321	8.0985	4.7182	0.45	yes	BK00418BL01-7
ABCA11P	79963	367	1.2772	4.8406	4.891	0.45	yes	BK00418BL01-7
ABCA12	26154	1361	1.9158	17.9512	7.3365	0.5	yes	BK00418BL01-7
ABCA13	154664	1348	1.0058	17.7798	3.8515	0.42	yes	BK00418BL01-7
ABCA2	20	13728	21.6589	181.0686	82.9414	0.91	yes	BK00418BL01-7
ABCA3	21	368	0.7303	4.8538	2.7968	0.4	yes	BK00418BL01-7
ABCA4	24	171	0.3079	2.2554	1.179	0.33	no	BK00418BL01-7
ABCA5	23461	1133	1.5726	14.944	6.022	0.48	yes	BK00418BL01-7
ABCA6	23460	2206	5.4941	29.0965	21.0391	0.67	yes	BK00418BL01-7
ABCA7	10347	3026	5.8531	39.9121	22.414	0.68	yes	BK00418BL01-7
ABCA8	10351	160	0.3256	2.1104	1.2469	0.33	no	BK00418BL01-7
ABCA9	10350	1660	3.0964	21.8949	11.8576	0.57	yes	BK00418BL01-7
ABCB1	5243	157	0.4391	2.0708	1.6815	0.35	no	BK00418BL01-7
ABCB10	23456	1264	4.3225	16.6718	16.5527	0.63	yes	BK00418BL01-7
ABCB11	8647	17	0.0317	0.2242	0.1215	0.21	no	BK00418BL01-7
ABCB4	5244	112	0.3704	1.4772	1.4185	0.34	no	BK00418BL01-7
ABCB5	340273	1	0.0017	0.0132	0.0065	0.14	no	BK00418BL01-7
ABCB6	10058	2575	10.7889	33.9635	41.3155	0.8	yes	BK00418BL01-7
ABCB7	22	2039	10.6384	26.8939	40.739	0.8	yes	BK00418BL01-7
ABCB8	11194	2565	6.6428	33.8317	25.4381	0.71	yes	BK00418BL01-7
