Gene Symbol	NCBI Gene ID	RNA-Seq Raw Counts	FPKM	CPM	TPM	Percentile Rank	Is Expressed	sample
A1BG	1	53547	415.63	770.1625	1408.4779	1	yes	BK02560TS05
A1BG-AS1	503538	195	1.3167	2.8047	4.4622	0.45	yes	BK02560TS05
A1CF	29974	17546	26.4837	252.3628	89.7472	0.93	yes	BK02560TS05
A2M	2	105519	326.1706	1517.6718	1105.3197	1	yes	BK02560TS05
A2M-AS1	144571	45	0.2959	0.6472	1.0029	0.31	no	BK02560TS05
A2ML1	144568	19	0.0501	0.2733	0.1699	0.21	no	BK02560TS05
A3GALT2	127550	35	0.4921	0.5034	1.6676	0.35	no	BK02560TS05
A4GALT	53947	770	3.6406	11.0749	12.3373	0.6	yes	BK02560TS05
A4GNT	51146	129	1.0477	1.8554	3.5503	0.42	yes	BK02560TS05
AAAS	8086	1187	9.2937	17.0725	31.4943	0.79	yes	BK02560TS05
AACS	65985	580	2.5059	8.3421	8.4919	0.54	yes	BK02560TS05
AADAC	13	10092	85.4844	145.1525	289.6876	0.98	yes	BK02560TS05
AADACL2	344752	0	0	0	0	0	no	BK02560TS05
AADACL3	126767	0	0	0	0	0	no	BK02560TS05
AADACL4	343066	0	0	0	0	0	no	BK02560TS05
AADAT	51166	2471	12.6703	35.5402	42.9369	0.84	yes	BK02560TS05
PRXL2C	195827	287	2.4972	4.1279	8.4625	0.54	yes	BK02560TS05
AAGAB	79719	856	3.5086	12.3118	11.89	0.59	yes	BK02560TS05
AAK1	22848	4202	2.7711	60.437	9.3905	0.55	yes	BK02560TS05
AAMDC	28971	163	3.8623	2.3444	13.0885	0.61	yes	BK02560TS05
AAMP	14	2649	21.214	38.1004	71.8896	0.91	yes	BK02560TS05
AANAT	15	2	0.0137	0.0288	0.0466	0.17	no	BK02560TS05
AAR2	25980	500	2.4141	7.1915	8.1807	0.53	yes	BK02560TS05
AARD	441376	0	0	0	0	0	no	BK02560TS05
AARS	16	5777	23.9937	83.0902	81.3093	0.92	yes	BK02560TS05
AARS2	57505	2272	6.7895	32.678	23.0082	0.72	yes	BK02560TS05
AARSD1	80755	1	0.0105	0.0144	0.0357	0.16	no	BK02560TS05
AASDH	132949	1463	4.9453	21.0422	16.7585	0.66	yes	BK02560TS05
AASDHPPT	60496	577	2.9007	8.2989	9.8299	0.56	yes	BK02560TS05
AASS	10157	17507	40.115	251.8019	135.9408	0.96	yes	BK02560TS05
AATF	26574	1525	10.2447	21.934	34.7171	0.8	yes	BK02560TS05
AATK	9625	510	0.7448	7.3353	2.5239	0.39	yes	BK02560TS05
PVALEF	388428	0	0	0	0	0	no	BK02560TS05
ABAT	18	11602	27.784	166.8707	94.1538	0.93	yes	BK02560TS05
ABCA1	19	25433	32.7251	365.8009	110.898	0.94	yes	BK02560TS05
ABCA10	10349	4249	9.2976	61.113	31.5075	0.79	yes	BK02560TS05
