Gene Symbol	NCBI Gene ID	RNA-Seq Raw Counts	FPKM	CPM	TPM	Percentile Rank	Is Expressed	sample
A1BG	1	24856	199.6888	370.0234	719.7499	0.99	yes	BK12442SL03
A1BG-AS1	503538	129	0.9016	1.9204	3.2496	0.39	yes	BK12442SL03
A1CF	29974	3729	5.8256	55.5124	20.9977	0.67	yes	BK12442SL03
A2M	2	22162	70.9045	329.9187	255.5652	0.98	yes	BK12442SL03
A2M-AS1	144571	33	0.2246	0.4913	0.8096	0.28	no	BK12442SL03
A2ML1	144568	225	0.6146	3.3495	2.2152	0.36	yes	BK12442SL03
A3GALT2	127550	34	0.4948	0.5061	1.7833	0.34	no	BK12442SL03
A4GALT	53947	1118	5.4712	16.6433	19.7201	0.66	yes	BK12442SL03
A4GNT	51146	3	0.0252	0.0447	0.0909	0.18	no	BK12442SL03
AAAS	8086	998	8.0876	14.8569	29.1506	0.74	yes	BK12442SL03
AACS	65985	1023	4.5747	15.2291	16.4887	0.62	yes	BK12442SL03
AADAC	13	1627	14.2642	24.2206	51.4133	0.84	yes	BK12442SL03
AADACL2	344752	0	0	0	0	0	no	BK12442SL03
AADACL3	126767	0	0	0	0	0	no	BK12442SL03
AADACL4	343066	0	0	0	0	0	no	BK12442SL03
AADAT	51166	911	4.8349	13.5618	17.4265	0.63	yes	BK12442SL03
PRXL2C	195827	201	1.8102	2.9922	6.5245	0.47	yes	BK12442SL03
AAGAB	79719	1555	6.597	23.1488	23.7779	0.69	yes	BK12442SL03
AAK1	22848	5310	3.6244	79.0483	13.0637	0.58	yes	BK12442SL03
AAMDC	28971	159	3.8995	2.367	14.0551	0.59	yes	BK12442SL03
AAMP	14	6476	53.6783	96.4062	193.4757	0.97	yes	BK12442SL03
AANAT	15	20	0.1423	0.2977	0.5127	0.25	no	BK12442SL03
AAR2	25980	1059	5.292	15.765	19.0744	0.65	yes	BK12442SL03
AARD	441376	3	0.025	0.0447	0.0901	0.18	no	BK12442SL03
AARS	16	9955	42.7944	148.1969	154.2462	0.96	yes	BK12442SL03
AARS2	57505	2911	9.0038	43.3351	32.4528	0.76	yes	BK12442SL03
AARSD1	80755	0	0	0	0	0	no	BK12442SL03
AASDH	132949	1509	5.2794	22.464	19.029	0.65	yes	BK12442SL03
AASDHPPT	60496	665	3.4602	9.8996	12.4718	0.57	yes	BK12442SL03
AASS	10157	11745	27.8547	174.8441	100.3984	0.92	yes	BK12442SL03
AATF	26574	2580	17.9391	38.4076	64.659	0.87	yes	BK12442SL03
AATK	9625	416	0.6288	6.1929	2.2664	0.36	yes	BK12442SL03
PVALEF	388428	2	0.0189	0.0298	0.068	0.17	no	BK12442SL03
ABAT	18	3130	7.7581	46.5953	27.9631	0.73	yes	BK12442SL03
ABCA1	19	13203	17.5835	196.5489	63.3774	0.87	yes	BK12442SL03
ABCA10	10349	1116	2.5275	16.6135	9.1102	0.52	yes	BK12442SL03
ABCA11P	79963	646	2.5374	9.6168	9.1457	0.52	yes	BK12442SL03
ABCA12	26154	477	0.7578	7.1009	2.7315	0.37	yes	BK12442SL03
ABCA13	154664	4931	4.1524	73.4062	14.9668	0.6	yes	BK12442SL03
ABCA2	20	8485	15.1093	126.3135	54.4592	0.85	yes	BK12442SL03
ABCA3	21	1424	3.1897	21.1986	11.4968	0.56	yes	BK12442SL03
ABCA4	24	108	0.2195	1.6078	0.791	0.28	no	BK12442SL03
ABCA5	23461	5294	8.2932	78.8101	29.8916	0.74	yes	BK12442SL03
ABCA6	23460	9215	25.9027	137.1808	93.3627	0.92	yes	BK12442SL03
ABCA7	10347	13349	29.1424	198.7223	105.0398	0.93	yes	BK12442SL03
ABCA8	10351	6871	15.7825	102.2864	56.8858	0.86	yes	BK12442SL03
ABCA9	10350	3193	6.7223	47.5332	24.2295	0.7	yes	BK12442SL03
ABCB1	5243	1762	5.562	26.2303	20.0474	0.66	yes	BK12442SL03
ABCB10	23456	1381	5.3302	20.5585	19.2119	0.65	yes	BK12442SL03
ABCB11	8647	19177	40.385	285.4819	145.5622	0.95	yes	BK12442SL03
ABCB4	5244	6439	24.0359	95.8554	86.6341	0.91	yes	BK12442SL03
ABCB5	340273	31	0.0594	0.4615	0.2142	0.21	no	BK12442SL03
ABCB6	10058	1595	7.5426	23.7443	27.1864	0.72	yes	BK12442SL03
ABCB7	22	1856	10.9295	27.6297	39.3937	0.79	yes	BK12442SL03
ABCB8	11194	3042	8.8917	45.2853	32.0488	0.76	yes	BK12442SL03
ABCB9	23457	188	0.716	2.7987	2.5806	0.37	yes	BK12442SL03
ABCC1	4363	11068	24.9872	164.7658	90.0629	0.91	yes	BK12442SL03
ABCC10	89845	5042	12.4682	75.0587	44.9399	0.82	yes	BK12442SL03
ABCC11	85320	370	1.0735	5.5081	3.8692	0.41	yes	BK12442SL03
ABCC12	94160	1	0.0029	0.0149	0.0103	0.14	no	BK12442SL03
ABCC13	150000	17	0.0857	0.2531	0.3089	0.23	no	BK12442SL03
ABCC2	1244	13613	40.0736	202.6524	144.4397	0.95	yes	BK12442SL03
ABCC3	8714	61544	173.3887	916.186	624.955	0.99	yes	BK12442SL03
ABCC4	10257	900	2.0853	13.398	7.5161	0.49	yes	BK12442SL03
ABCC5	10057	4037	7.5291	60.0975	27.1377	0.72	yes	BK12442SL03
ABCC6	368	8160	19.0849	121.4753	68.7888	0.88	yes	BK12442SL03
ABCC6P1	653190	1214	6.6248	18.0724	23.8781	0.7	yes	BK12442SL03
ABCC6P2	730013	97	2.0453	1.444	7.3721	0.49	yes	BK12442SL03
ABCC8	6833	27	0.0807	0.4019	0.2909	0.23	no	BK12442SL03
ABCC9	10060	2132	3.3158	31.7384	11.9512	0.56	yes	BK12442SL03
ABCD1	215	2576	5.2331	38.3481	18.8619	0.65	yes	BK12442SL03
ABCD2	225	94	0.262	1.3993	0.9443	0.29	no	BK12442SL03
ABCD3	5825	2979	11.2102	44.3474	40.4055	0.8	yes	BK12442SL03
ABCD4	5826	6274	22.0073	93.399	79.3222	0.9	yes	BK12442SL03
ABCE1	6059	3169	11.2484	47.1759	40.5433	0.8	yes	BK12442SL03
ABCF1	23	2386	1.5246	35.5196	5.4954	0.45	yes	BK12442SL03
ABCF2	10061	1703	4.9313	25.352	17.7743	0.64	yes	BK12442SL03
ABCF3	55324	3439	19.6527	51.1953	70.8354	0.89	yes	BK12442SL03
ABCG1	9619	4921	6.7674	73.2574	24.3922	0.7	yes	BK12442SL03
ABCG2	9429	363	1.1053	5.4039	3.9839	0.41	yes	BK12442SL03
ABCG4	64137	9	0.034	0.134	0.1227	0.19	no	BK12442SL03
ABCG5	64240	3213	15.933	47.8309	57.4283	0.86	yes	BK12442SL03
ABCG8	64241	2282	11.2974	33.9714	40.72	0.8	yes	BK12442SL03
ABHD1	84696	55	0.5477	0.8188	1.974	0.35	no	BK12442SL03
ABHD10	55347	370	1.963	5.5081	7.0752	0.48	yes	BK12442SL03
ABHD11	83451	2742	12.3995	40.8193	44.6924	0.82	yes	BK12442SL03
ABHD12	26090	1506	7.8198	22.4193	28.1853	0.73	yes	BK12442SL03
ABHD12B	145447	7	0.026	0.1042	0.0937	0.18	no	BK12442SL03
ABHD13	84945	680	1.9093	10.1229	6.8817	0.48	yes	BK12442SL03
ABHD14A	25864	222	2.4848	3.3048	8.9563	0.52	yes	BK12442SL03
ABHD14A-ACY1	100526760	0	0	0	0	0	no	BK12442SL03
ABHD14B	84836	1733	10.5862	25.7986	38.1565	0.79	yes	BK12442SL03
ABHD15	116236	915	4.0479	13.6213	14.5902	0.6	yes	BK12442SL03
ABHD16A	7920	11957	10.2866	178.0001	37.0767	0.78	yes	BK12442SL03
ABHD16B	140701	90	0.7544	1.3398	2.7191	0.37	yes	BK12442SL03
ABHD17A	81926	1923	16.6825	28.6271	60.1295	0.86	yes	BK12442SL03
ABHD17B	51104	242	1.1051	3.6026	3.9831	0.41	yes	BK12442SL03
ABHD17C	58489	3598	22.5336	53.5623	81.219	0.9	yes	BK12442SL03
ABHD2	11057	19713	31.9292	293.4612	115.0842	0.94	yes	BK12442SL03
ABHD3	171586	1057	6.284	15.7352	22.6499	0.69	yes	BK12442SL03
ABHD4	63874	1083	5.9668	16.1223	21.5065	0.68	yes	BK12442SL03
ABHD5	51099	657	1.8271	9.7806	6.5856	0.47	yes	BK12442SL03
ABHD6	57406	363	2.1711	5.4039	7.8254	0.5	yes	BK12442SL03
ABHD8	79575	747	5.3207	11.1204	19.1779	0.65	yes	BK12442SL03
ABI1	10006	3067	12.0915	45.6575	43.582	0.81	yes	BK12442SL03
ABI2	10152	2197	4.5068	32.706	16.2442	0.62	yes	BK12442SL03
ABI3	51225	1641	11.469	24.429	41.3385	0.8	yes	BK12442SL03
ABI3BP	25890	2255	4.434	33.5695	15.9816	0.61	yes	BK12442SL03
ABL1	25	16394	35.0398	244.0523	126.296	0.94	yes	BK12442SL03
ABL2	27	2636	3.1023	39.2413	11.1819	0.55	yes	BK12442SL03
ABLIM1	3983	4828	7.3701	71.8729	26.5644	0.72	yes	BK12442SL03
ABLIM2	84448	2678	7.4867	39.8665	26.9846	0.72	yes	BK12442SL03
ABLIM3	22885	8345	27.0947	124.2294	97.6591	0.92	yes	BK12442SL03
ABO	28	3571	15.3112	53.1603	55.1869	0.85	yes	BK12442SL03
ABR	29	13218	30.037	196.7722	108.264	0.93	yes	BK12442SL03
ABRA	137735	6	0.0324	0.0893	0.1169	0.19	no	BK12442SL03
ABRACL	58527	908	15.9966	13.5171	57.6574	0.86	yes	BK12442SL03
ABT1	29777	624	2.0515	9.2893	7.3944	0.49	yes	BK12442SL03
ABTB1	80325	3103	22.8454	46.1934	82.343	0.9	yes	BK12442SL03
ABTB2	25841	4747	14.413	70.6671	51.9497	0.84	yes	BK12442SL03
ACAA1	30	4739	35.5048	70.548	127.9719	0.94	yes	BK12442SL03
ACAA2	10449	3284	24.5791	48.8879	88.5919	0.91	yes	BK12442SL03
ACACA	31	8121	10.5548	120.8948	38.0433	0.79	yes	BK12442SL03
ACACB	32	15337	23.7262	228.3171	85.5176	0.91	yes	BK12442SL03
ACAD10	80724	3192	10.6567	47.5183	38.4106	0.79	yes	BK12442SL03
ACAD11	84129	122	0.4868	1.8162	1.7545	0.34	no	BK12442SL03
ACAD8	27034	1677	6.6238	24.965	23.8744	0.7	yes	BK12442SL03
ACAD9	28976	2346	12.6951	34.9242	45.7576	0.82	yes	BK12442SL03
ACADL	33	987	4.4203	14.6932	15.9324	0.61	yes	BK12442SL03
ACADM	34	1768	10.0495	26.3197	36.222	0.78	yes	BK12442SL03
ACADS	35	1423	10.1649	21.1837	36.6381	0.78	yes	BK12442SL03
ACADSB	36	2363	5.9211	35.1772	21.3417	0.67	yes	BK12442SL03
ACADVL	37	29261	147.8612	435.5992	532.9448	0.99	yes	BK12442SL03
ACAN	176	41	0.069	0.6104	0.2489	0.22	no	BK12442SL03
ACAP1	9744	829	4.9128	12.3411	17.7076	0.64	yes	BK12442SL03
