Gene Symbol	NCBI Gene ID	RNA-Seq Raw Counts	FPKM	CPM	TPM	Percentile Rank	Is Expressed	sample
A1BG	1	1791	12.7465	23.6193	45.2693	0.83	yes	K02142FP01_SSL_A05
A1BG-AS1	503538	83	0.5139	1.0946	1.8251	0.38	no	K02142FP01_SSL_A05
A1CF	29974	761	1.0532	10.0359	3.7404	0.45	yes	K02142FP01_SSL_A05
A2M	2	16979	48.1227	223.9148	170.9081	0.96	yes	K02142FP01_SSL_A05
A2M-AS1	144571	51	0.3075	0.6726	1.0922	0.34	no	K02142FP01_SSL_A05
A2ML1	144568	163	0.3944	2.1496	1.4008	0.36	no	K02142FP01_SSL_A05
A3GALT2	127550	19	0.2449	0.2506	0.8699	0.33	no	K02142FP01_SSL_A05
A4GALT	53947	5632	24.416	74.2734	86.7135	0.91	yes	K02142FP01_SSL_A05
A4GNT	51146	0	0	0	0	0	no	K02142FP01_SSL_A05
AAAS	8086	1146	8.2271	15.1132	29.2186	0.75	yes	K02142FP01_SSL_A05
AACS	65985	1237	4.9003	16.3132	17.4036	0.66	yes	K02142FP01_SSL_A05
AADAC	13	3288	25.5367	43.3613	90.6938	0.92	yes	K02142FP01_SSL_A05
AADACL2	344752	0	0	0	0	0	no	K02142FP01_SSL_A05
AADACL3	126767	1	0.0033	0.0132	0.0116	0.14	no	K02142FP01_SSL_A05
AADACL4	343066	0	0	0	0	0	no	K02142FP01_SSL_A05
AADAT	51166	175	0.8228	2.3079	2.9221	0.42	yes	K02142FP01_SSL_A05
PRXL2C	195827	962	7.6749	12.6866	27.2575	0.74	yes	K02142FP01_SSL_A05
AAGAB	79719	2047	7.6932	26.9953	27.3223	0.74	yes	K02142FP01_SSL_A05
AAK1	22848	6108	3.6933	80.5508	13.1168	0.61	yes	K02142FP01_SSL_A05
AAMDC	28971	182	3.9542	2.4002	14.0432	0.62	yes	K02142FP01_SSL_A05
AAMP	14	4072	29.9001	53.7005	106.1903	0.93	yes	K02142FP01_SSL_A05
AANAT	15	2	0.0126	0.0264	0.0448	0.17	no	K02142FP01_SSL_A05
AAR2	25980	882	3.9045	11.6316	13.867	0.62	yes	K02142FP01_SSL_A05
AARD	441376	0	0	0	0	0	no	K02142FP01_SSL_A05
AARS	16	6674	25.4158	88.015	90.2646	0.92	yes	K02142FP01_SSL_A05
AARS2	57505	1754	4.806	23.1313	17.0686	0.65	yes	K02142FP01_SSL_A05
AARSD1	80755	0	0	0	0	0	no	K02142FP01_SSL_A05
AASDH	132949	1650	5.1139	21.7598	18.1622	0.67	yes	K02142FP01_SSL_A05
AASDHPPT	60496	1352	6.232	17.8298	22.1331	0.7	yes	K02142FP01_SSL_A05
AASS	10157	858	1.8026	11.3151	6.402	0.51	yes	K02142FP01_SSL_A05
AATF	26574	2820	17.3701	37.1894	61.6902	0.87	yes	K02142FP01_SSL_A05
AATK	9625	559	0.7485	7.372	2.6583	0.41	yes	K02142FP01_SSL_A05
PVALEF	388428	1	0.0084	0.0132	0.0297	0.16	no	K02142FP01_SSL_A05
ABAT	18	675	1.4821	8.9017	5.2638	0.48	yes	K02142FP01_SSL_A05
ABCA1	19	26588	31.3684	350.6358	111.4051	0.94	yes	K02142FP01_SSL_A05
ABCA10	10349	701	1.4065	9.2446	4.995	0.48	yes	K02142FP01_SSL_A05
ABCA11P	79963	414	1.4406	5.4597	5.1162	0.48	yes	K02142FP01_SSL_A05
ABCA12	26154	206	0.2899	2.7167	1.0297	0.34	no	K02142FP01_SSL_A05
ABCA13	154664	106	0.0791	1.3979	0.2808	0.26	no	K02142FP01_SSL_A05
ABCA2	20	8537	13.467	112.5838	47.828	0.84	yes	K02142FP01_SSL_A05
ABCA3	21	456	0.9048	6.0136	3.2136	0.43	yes	K02142FP01_SSL_A05
ABCA4	24	100	0.18	1.3188	0.6393	0.31	no	K02142FP01_SSL_A05
ABCA5	23461	3421	4.7475	45.1153	16.8607	0.65	yes	K02142FP01_SSL_A05
ABCA6	23460	2814	7.0072	37.1103	24.8863	0.72	yes	K02142FP01_SSL_A05
ABCA7	10347	17442	33.7323	230.0207	119.8006	0.94	yes	K02142FP01_SSL_A05
ABCA8	10351	1550	3.154	20.441	11.2014	0.58	yes	K02142FP01_SSL_A05
ABCA9	10350	1434	2.6745	18.9112	9.4984	0.56	yes	K02142FP01_SSL_A05
ABCB1	5243	583	1.6303	7.6885	5.79	0.49	yes	K02142FP01_SSL_A05
ABCB10	23456	1425	4.8723	18.7925	17.3041	0.66	yes	K02142FP01_SSL_A05
ABCB11	8647	1294	2.4141	17.0649	8.5735	0.54	yes	K02142FP01_SSL_A05
ABCB4	5244	818	2.705	10.7876	9.6069	0.56	yes	K02142FP01_SSL_A05
ABCB5	340273	0	0	0	0	0	no	K02142FP01_SSL_A05
ABCB6	10058	1357	5.6848	17.8958	20.1896	0.69	yes	K02142FP01_SSL_A05
ABCB7	22	3137	16.3647	41.37	58.1194	0.87	yes	K02142FP01_SSL_A05
ABCB8	11194	1956	5.0648	25.7952	17.9878	0.66	yes	K02142FP01_SSL_A05
ABCB9	23457	220	0.7422	2.9013	2.636	0.41	yes	K02142FP01_SSL_A05
ABCC1	4363	11993	23.9855	158.1607	85.1849	0.91	yes	K02142FP01_SSL_A05
ABCC10	89845	3327	7.2883	43.8756	25.8845	0.73	yes	K02142FP01_SSL_A05
ABCC11	85320	65	0.1671	0.8572	0.5933	0.3	no	K02142FP01_SSL_A05
ABCC12	94160	4	0.0101	0.0528	0.036	0.17	no	K02142FP01_SSL_A05
ABCC13	150000	5	0.0223	0.0659	0.0793	0.2	no	K02142FP01_SSL_A05
ABCC2	1244	774	2.0185	10.2073	7.1686	0.52	yes	K02142FP01_SSL_A05
ABCC3	8714	19674	49.1021	259.4557	174.3867	0.96	yes	K02142FP01_SSL_A05
ABCC4	10257	1595	3.2738	21.0345	11.6271	0.59	yes	K02142FP01_SSL_A05
ABCC5	10057	2789	4.6079	36.7806	16.3652	0.65	yes	K02142FP01_SSL_A05
ABCC6	368	644	1.3343	8.4929	4.7388	0.47	yes	K02142FP01_SSL_A05
ABCC6P1	653190	107	0.5173	1.4111	1.8371	0.38	no	K02142FP01_SSL_A05
ABCC6P2	730013	5	0.0934	0.0659	0.3317	0.27	no	K02142FP01_SSL_A05
ABCC8	6833	17	0.045	0.2242	0.1599	0.23	no	K02142FP01_SSL_A05
ABCC9	10060	1343	1.8503	17.7111	6.5714	0.51	yes	K02142FP01_SSL_A05
ABCD1	215	1979	3.5615	26.0986	12.6486	0.6	yes	K02142FP01_SSL_A05
ABCD2	225	150	0.3704	1.9782	1.3154	0.36	no	K02142FP01_SSL_A05
ABCD3	5825	2640	8.8007	34.8157	31.2558	0.77	yes	K02142FP01_SSL_A05
ABCD4	5826	2044	6.3515	26.9558	22.5574	0.71	yes	K02142FP01_SSL_A05
ABCE1	6059	9319	29.303	122.8966	104.0697	0.93	yes	K02142FP01_SSL_A05
ABCF1	23	3404	1.9269	44.8911	6.8434	0.51	yes	K02142FP01_SSL_A05
ABCF2	10061	3050	7.8239	40.2226	27.7866	0.74	yes	K02142FP01_SSL_A05
ABCF3	55324	3287	16.6404	43.3481	59.0984	0.87	yes	K02142FP01_SSL_A05
ABCG1	9619	3098	3.7742	40.8556	13.4041	0.61	yes	K02142FP01_SSL_A05
ABCG2	9429	322	0.8686	4.2465	3.0847	0.43	yes	K02142FP01_SSL_A05
ABCG4	64137	20	0.067	0.2638	0.238	0.25	no	K02142FP01_SSL_A05
ABCG5	64240	459	2.0164	6.0532	7.1612	0.52	yes	K02142FP01_SSL_A05
ABCG8	64241	139	0.6096	1.8331	2.165	0.4	yes	K02142FP01_SSL_A05
ABHD1	84696	5	0.0441	0.0659	0.1566	0.23	no	K02142FP01_SSL_A05
ABHD10	55347	639	3.0032	8.427	10.6659	0.58	yes	K02142FP01_SSL_A05
ABHD11	83451	964	3.8618	12.713	13.7152	0.62	yes	K02142FP01_SSL_A05
ABHD12	26090	2298	10.5704	30.3054	37.541	0.8	yes	K02142FP01_SSL_A05
ABHD12B	145447	6	0.0197	0.0791	0.0701	0.19	no	K02142FP01_SSL_A05
ABHD13	84945	773	1.9227	10.1941	6.8285	0.51	yes	K02142FP01_SSL_A05
ABHD14A	25864	69	0.6842	0.91	2.4299	0.41	yes	K02142FP01_SSL_A05
ABHD14A-ACY1	100526760	0	0	0	0	0	no	K02142FP01_SSL_A05
ABHD14B	84836	661	3.577	8.7171	12.7037	0.6	yes	K02142FP01_SSL_A05
ABHD15	116236	316	1.2384	4.1673	4.3983	0.46	yes	K02142FP01_SSL_A05
ABHD16A	7920	1172	0.8932	15.456	3.1722	0.43	yes	K02142FP01_SSL_A05
ABHD16B	140701	12	0.0891	0.1583	0.3165	0.26	no	K02142FP01_SSL_A05
ABHD17A	81926	2444	18.7825	32.2309	66.7064	0.88	yes	K02142FP01_SSL_A05
ABHD17B	51104	569	2.3018	7.5038	8.1748	0.54	yes	K02142FP01_SSL_A05
ABHD17C	58489	1435	7.9615	18.9244	28.2752	0.75	yes	K02142FP01_SSL_A05
ABHD2	11057	9192	13.1892	121.2218	46.8415	0.83	yes	K02142FP01_SSL_A05
ABHD3	171586	1077	5.6722	14.2032	20.1449	0.68	yes	K02142FP01_SSL_A05
ABHD4	63874	448	2.1866	5.9081	7.7656	0.53	yes	K02142FP01_SSL_A05
ABHD5	51099	1342	3.3062	17.698	11.7419	0.59	yes	K02142FP01_SSL_A05
ABHD6	57406	338	1.7909	4.4575	6.3603	0.51	yes	K02142FP01_SSL_A05
ABHD8	79575	436	2.7511	5.7499	9.7707	0.56	yes	K02142FP01_SSL_A05
ABI1	10006	5164	18.0354	68.1015	64.0527	0.88	yes	K02142FP01_SSL_A05
ABI2	10152	2505	4.5522	33.0353	16.1672	0.64	yes	K02142FP01_SSL_A05
ABI3	51225	987	6.1109	13.0163	21.7031	0.7	yes	K02142FP01_SSL_A05
ABI3BP	25890	2844	4.9539	37.506	17.5938	0.66	yes	K02142FP01_SSL_A05
ABL1	25	36401	68.9228	480.0472	244.7799	0.97	yes	K02142FP01_SSL_A05
ABL2	27	7355	7.6683	96.9959	27.2339	0.74	yes	K02142FP01_SSL_A05
ABLIM1	3983	2060	2.7858	27.1668	9.8937	0.57	yes	K02142FP01_SSL_A05
ABLIM2	84448	5039	12.4794	66.4531	44.3209	0.82	yes	K02142FP01_SSL_A05
ABLIM3	22885	12326	35.453	162.5522	125.9118	0.94	yes	K02142FP01_SSL_A05
ABO	28	3886	14.7602	51.2476	52.4212	0.85	yes	K02142FP01_SSL_A05
ABR	29	12026	24.2094	158.5959	85.9799	0.91	yes	K02142FP01_SSL_A05
ABRA	137735	2	0.0096	0.0264	0.034	0.16	no	K02142FP01_SSL_A05
ABRACL	58527	752	11.7363	9.9172	41.6816	0.81	yes	K02142FP01_SSL_A05
ABT1	29777	735	2.1407	9.693	7.6026	0.53	yes	K02142FP01_SSL_A05
ABTB1	80325	2961	19.312	39.0489	68.5868	0.89	yes	K02142FP01_SSL_A05
ABTB2	25841	1784	4.7985	23.5269	17.0418	0.65	yes	K02142FP01_SSL_A05
ACAA1	30	1658	11.0042	21.8653	39.0814	0.8	yes	K02142FP01_SSL_A05
ACAA2	10449	2602	17.2521	34.3145	61.2712	0.87	yes	K02142FP01_SSL_A05
ACACA	31	7106	8.1816	93.7121	29.0571	0.75	yes	K02142FP01_SSL_A05
ACACB	32	1523	2.0872	20.0849	7.4126	0.52	yes	K02142FP01_SSL_A05
ACAD10	80724	2368	7.0035	31.2286	24.873	0.72	yes	K02142FP01_SSL_A05
ACAD11	84129	61	0.2156	0.8045	0.7658	0.32	no	K02142FP01_SSL_A05
ACAD8	27034	1219	4.2653	16.0759	15.1482	0.63	yes	K02142FP01_SSL_A05
ACAD9	28976	4858	23.2883	64.0661	82.7086	0.91	yes	K02142FP01_SSL_A05
ACADL	33	65	0.2579	0.8572	0.9159	0.33	no	K02142FP01_SSL_A05
ACADM	34	1219	6.1382	16.0759	21.7998	0.7	yes	K02142FP01_SSL_A05
ACADS	35	416	2.6325	5.4861	9.3493	0.56	yes	K02142FP01_SSL_A05
ACADSB	36	413	0.9168	5.4465	3.2559	0.43	yes	K02142FP01_SSL_A05
ACADVL	37	19273	86.2754	254.1675	306.408	0.98	yes	K02142FP01_SSL_A05
ACAN	176	10	0.0149	0.1319	0.053	0.18	no	K02142FP01_SSL_A05
ACAP1	9744	1046	5.4914	13.7944	19.5027	0.68	yes	K02142FP01_SSL_A05
ACAP2	23527	3925	7.115	51.7619	25.2691	0.73	yes	K02142FP01_SSL_A05
ACAP3	116983	5821	19.2347	76.7659	68.3124	0.89	yes	K02142FP01_SSL_A05
ACAT1	38	2051	12.6511	27.0481	44.9305	0.83	yes	K02142FP01_SSL_A05
ACAT2	39	448	3.1988	5.9081	11.3604	0.59	yes	K02142FP01_SSL_A05
ACBD3	64746	3520	13.0213	46.4209	46.2452	0.83	yes	K02142FP01_SSL_A05
ACBD4	79777	307	1.4648	4.0486	5.2022	0.48	yes	K02142FP01_SSL_A05
ACBD5	91452	1605	4.9745	21.1663	17.6668	0.66	yes	K02142FP01_SSL_A05
ACBD6	84320	1975	16.1175	26.0458	57.2413	0.86	yes	K02142FP01_SSL_A05
ACBD7	414149	42	0.132	0.5539	0.4687	0.29	no	K02142FP01_SSL_A05
ACCS	84680	1229	5.1848	16.2077	18.4139	0.67	yes	K02142FP01_SSL_A05
ACCSL	390110	0	0	0	0	0	no	K02142FP01_SSL_A05
ACD	65057	1433	9.1472	18.898	32.4862	0.77	yes	K02142FP01_SSL_A05
ACE	1636	3891	9.8321	51.3135	34.9187	0.78	yes	K02142FP01_SSL_A05
ACE2	59272	13	0.0489	0.1714	0.1736	0.23	no	K02142FP01_SSL_A05
ACER1	125981	6	0.0727	0.0791	0.2583	0.25	no	K02142FP01_SSL_A05
ACER2	340485	184	0.6866	2.4265	2.4386	0.41	yes	K02142FP01_SSL_A05
ACER3	55331	939	1.448	12.3833	5.1426	0.48	yes	K02142FP01_SSL_A05
ACHE	43	277	1.2036	3.653	4.2747	0.46	yes	K02142FP01_SSL_A05
ACIN1	22985	16688	29.0723	220.0771	103.2504	0.93	yes	K02142FP01_SSL_A05
ACKR1	2532	46	0.2745	0.6066	0.9749	0.33	no	K02142FP01_SSL_A05
ACKR2	1238	213	0.8221	2.809	2.9196	0.42	yes	K02142FP01_SSL_A05
ACKR3	57007	906	5.2612	11.9481	18.6851	0.67	yes	K02142FP01_SSL_A05
ACKR4	51554	5	0.0254	0.0659	0.0902	0.2	no	K02142FP01_SSL_A05
ACLY	47	10030	14.4751	132.2731	51.4083	0.85	yes	K02142FP01_SSL_A05
ACMSD	130013	109	0.8765	1.4375	3.1129	0.43	yes	K02142FP01_SSL_A05
SDHAF3	57001	222	1.4233	2.9277	5.0548	0.48	yes	K02142FP01_SSL_A05
ACO1	48	5503	19.7368	72.5722	70.0954	0.89	yes	K02142FP01_SSL_A05
ACO2	50	10162	48.363	134.0139	171.7616	0.96	yes	K02142FP01_SSL_A05
ACOT1	641371	84	0.6618	1.1078	2.3502	0.4	yes	K02142FP01_SSL_A05
ACOT11	26027	2784	7.0974	36.7147	25.2064	0.73	yes	K02142FP01_SSL_A05
ACOT12	134526	22	0.1316	0.2901	0.4673	0.29	no	K02142FP01_SSL_A05
ACOT13	55856	270	0.8102	3.5607	2.8773	0.42	yes	K02142FP01_SSL_A05
ACOT2	10965	184	1.0601	2.4265	3.7649	0.45	yes	K02142FP01_SSL_A05
ACOT4	122970	123	0.9939	1.6221	3.5299	0.44	yes	K02142FP01_SSL_A05
ACOT6	641372	0	0	0	0	0	no	K02142FP01_SSL_A05
ACOT7	11332	5964	24.208	78.6517	85.9749	0.91	yes	K02142FP01_SSL_A05
ACOT8	10005	1357	6.5648	17.8958	23.3151	0.71	yes	K02142FP01_SSL_A05
ACOT9	23597	3972	17.4956	52.3817	62.1357	0.87	yes	K02142FP01_SSL_A05
ACOX1	51	2589	4.311	34.1431	15.3105	0.64	yes	K02142FP01_SSL_A05
ACOX2	8309	122	0.6599	1.6089	2.3437	0.4	yes	K02142FP01_SSL_A05
ACOX3	8310	1607	7.0501	21.1927	25.0386	0.72	yes	K02142FP01_SSL_A05
ACOXL	55289	28	0.1556	0.3693	0.5526	0.3	no	K02142FP01_SSL_A05
ACP1	52	2018	14.1332	26.6129	50.1943	0.84	yes	K02142FP01_SSL_A05
ACP2	53	2458	12.5934	32.4155	44.7257	0.83	yes	K02142FP01_SSL_A05
