Gene Symbol	NCBI Gene ID	RNA-Seq Raw Counts	FPKM	CPM	TPM	Percentile Rank	Is Expressed	sample
A1BG	1	80405	590.0228	1093.3122	2041.7533	1	yes	PS-19-00036411-A-26
A1BG-AS1	503538	272	1.7364	3.6985	6.0088	0.49	yes	PS-19-00036411-A-26
A1CF	29974	20315	28.9888	276.2345	100.3148	0.94	yes	PS-19-00036411-A-26
A2M	2	356936	1043.082	4853.4604	3609.5489	1	yes	PS-19-00036411-A-26
A2M-AS1	144571	186	1.1564	2.5291	4.0018	0.44	yes	PS-19-00036411-A-26
A2ML1	144568	210	0.5239	2.8555	1.8131	0.36	no	PS-19-00036411-A-26
A3GALT2	127550	62	0.8241	0.843	2.8518	0.4	yes	PS-19-00036411-A-26
A4GALT	53947	387	1.7299	5.2623	5.9861	0.49	yes	PS-19-00036411-A-26
A4GNT	51146	6	0.0461	0.0816	0.1594	0.21	no	PS-19-00036411-A-26
AAAS	8086	1397	10.3407	18.9958	35.7835	0.8	yes	PS-19-00036411-A-26
AACS	65985	608	2.4834	8.2673	8.5938	0.54	yes	PS-19-00036411-A-26
AADAC	13	11797	94.4702	160.4105	326.911	0.98	yes	PS-19-00036411-A-26
AADACL2	344752	0	0	0	0	0	no	PS-19-00036411-A-26
AADACL3	126767	0	0	0	0	0	no	PS-19-00036411-A-26
AADACL4	343066	0	0	0	0	0	no	PS-19-00036411-A-26
AADAT	51166	2339	11.3386	31.8047	39.2367	0.82	yes	PS-19-00036411-A-26
PRXL2C	195827	471	3.8744	6.4045	13.4074	0.62	yes	PS-19-00036411-A-26
AAGAB	79719	989	3.8324	13.448	13.262	0.61	yes	PS-19-00036411-A-26
AAK1	22848	4528	2.823	61.5698	9.7689	0.56	yes	PS-19-00036411-A-26
AAMDC	28971	283	6.3396	3.8481	21.9378	0.71	yes	PS-19-00036411-A-26
AAMP	14	2570	19.4575	34.9457	67.3321	0.9	yes	PS-19-00036411-A-26
AANAT	15	0	0	0	0	0	no	PS-19-00036411-A-26
AAR2	25980	619	2.8254	8.4169	9.7772	0.56	yes	PS-19-00036411-A-26
AARD	441376	0	0	0	0	0	no	PS-19-00036411-A-26
AARS	16	6016	23.622	81.803	81.7431	0.92	yes	PS-19-00036411-A-26
AARS2	57505	2050	5.7916	27.875	20.0417	0.69	yes	PS-19-00036411-A-26
