sample.id,assay.name,value,paper.name
BK00286BL01-14,Vectra,104,Macrophages
K01119FP01-14,Vectra,89,Macrophages
BK00595TS14,Vectra,578,Macrophages
BK02587TS04,Vectra,404,Macrophages
BK00254BL01-14,Vectra,348.5,Macrophages
BK00506TS13,Vectra,85,Macrophages
BK13862BL01_SL04,Vectra,267.5,Macrophages
BK00309BL01-14,Vectra,339.5,Macrophages
BK00068BL01-14,Vectra,354,Macrophages
BK00507BL01-14,Vectra,195,Macrophages
BK00496TS14,Vectra,130,Macrophages
BK02566BL02-14,Vectra,1378,Macrophages
BK00529BL01-14,Vectra,236,Macrophages
BK00364TS14,Vectra,114,Macrophages
BK00363BL02-3,Vectra,365,Macrophages
BK02569BL01-14,Vectra,432,Macrophages
BK02580TS03,Vectra,299,Macrophages
BK00078BL01-14,Vectra,62,Macrophages
BK02577TS01-14,Vectra,133.5,Macrophages
PICI0002_A00_K02121FP01_SSL_A14,Vectra,431,Macrophages
BK02579SL14,Vectra,562.5,Macrophages
11217-051_1_1-14,Vectra,606,Macrophages
BK02657BL01-14,Vectra,482,Macrophages
BK00341BL01-13,Vectra,798,Macrophages
OSP19-2304S32COLI,Vectra,53,Macrophages
BK01190SL03,Vectra,298,Macrophages
K02145FP01-14,Vectra,418,Macrophages
BK00594BL01-13,Vectra,1305,Macrophages
BK02527TS03,Vectra,8,Macrophages
BK02630BL02-3,Vectra,197,Macrophages
BK02598BL02-3,Vectra,103,Macrophages
BK00550BL01-14,Vectra,555,Macrophages
BK02655BL01-13,Vectra,1180,Macrophages
A799BS875-001,Vectra,391,Macrophages
BK00583TS14,Vectra,203,Macrophages
K00968BL01_SL03,Vectra,118,Macrophages
BK00463BL01-14,Vectra,682,Macrophages
K00878FP03-3,Vectra,394,Macrophages
BK00287BL01-13,Vectra,897,Macrophages
BK02583BL01-14,Vectra,34,Macrophages
A263BQ486-001,Vectra,287,Macrophages
K02123FP01-14,Vectra,730.5,Macrophages
K00047FP01-14,Vectra,53,Macrophages
BK00155TS07,Vectra,196,Macrophages
BK02570TS14,Vectra,1269,Macrophages
BK00385TS14,Vectra,112.5,Macrophages
BK02648BL01-14,Vectra,23.5,Macrophages
BK00452BL01-13,Vectra,1080,Macrophages
BK01178BL02-3,Vectra,268,Macrophages
BK01180BL01-13,Vectra,171,Macrophages
BK01184BL01-14,Vectra,214,Macrophages
BK00441TS07,Vectra,125,Macrophages
BK01194TS12,Vectra,625,Macrophages
BK01183BL02-14,Vectra,602.5,Macrophages
BK13860BL01_SL03,Vectra,98,Macrophages
BK01182BL02-3,Vectra,171.5,Macrophages
BK02594BL01-14,Vectra,123,Macrophages
BK02623BL02-3,Vectra,52.5,Macrophages
A135BS727-001,Vectra,128.5,Macrophages
BK02625BL01-14,Vectra,64,Macrophages
BK00231BL01-14,Vectra,101,Macrophages
PICI0002_A00_K02147FP01_SSL_A05,Vectra,187.5,Macrophages
BK00430TS14,Vectra,327.5,Macrophages
11217-052_1_1-13,Vectra,1514.5,Macrophages
BK00276SL03,Vectra,568,Macrophages
BK00342BL01-14,Vectra,48,Macrophages
A982BR654-001,Vectra,284,Macrophages
A982BR639-001,Vectra,542,Macrophages
BK02608BL01-14,Vectra,406,Macrophages
BK00540BL01-14,Vectra,560,Macrophages
BK02615BL01-14,Vectra,185,Macrophages
K00879FP01_4_SL03,Vectra,402.5,Macrophages
BK00331BL01_SL04,Vectra,288,Macrophages
A222BO507-001,Vectra,896,Macrophages
A136BS248-001,Vectra,385,Macrophages
BK02593BL02-13,Vectra,469,Macrophages
BK00473BL02-14,Vectra,139.5,Macrophages
BK00090BL02-14,Vectra,199.5,Macrophages
BK02586TS14,Vectra,111,Macrophages
BK00067BL01_SL03,Vectra,546.5,Macrophages
BK01199BL01_SL03,Vectra,314,Macrophages
BK13861BL01_SL03,Vectra,7,Macrophages
BK01232SL03,Vectra,106,Macrophages
SP19 7131 A1-14,Vectra,162.5,Macrophages
BK02618BL01-14,Vectra,69,Macrophages
BK00286BL01-14,Vectra,7,INOS+CD80+ Macrophages
PICI0002_A00_K02121FP01_SSL_A14,Vectra,0,INOS+CD80+ Macrophages
BK00529BL01-14,Vectra,2,INOS+CD80+ Macrophages
BK00595TS14,Vectra,17.5,INOS+CD80+ Macrophages
