sample.id,median.value,paper.name
PICI0002_A00_K02109FP02_SSL_A06,0.94285715,Ki-67- Tregs (% of Tregs)
PICI0002_A08_K01766FP01_SSL_A10,0.98262955,Ki-67- Tregs (% of Tregs)
BK00286BL01-13,0.9375,Ki-67- Tregs (% of Tregs)
BK00254BL01-13,0.9328063449999999,Ki-67- Tregs (% of Tregs)
BK00506TS12,0.75,Ki-67- Tregs (% of Tregs)
BK00309BL01-13,0.92742292,Ki-67- Tregs (% of Tregs)
BK00496TS13,0.85714287,Ki-67- Tregs (% of Tregs)
BK00529BL01-13,0.8640777,Ki-67- Tregs (% of Tregs)
BK01236BL01-13,0.79577464,Ki-67- Tregs (% of Tregs)
K02142FP02_SSL_A04,1,Ki-67- Tregs (% of Tregs)
BK00275BL01-13,0.9411765,Ki-67- Tregs (% of Tregs)
BK02569BL01-13,0.83333335,Ki-67- Tregs (% of Tregs)
BK02577TS01-13,0.97727272,Ki-67- Tregs (% of Tregs)
BK02580TS02,0.85322896,Ki-67- Tregs (% of Tregs)
BK02568BL01-13,0.85630342,Ki-67- Tregs (% of Tregs)
BK02579SL13,0.9166667,Ki-67- Tregs (% of Tregs)
OSP19-2304S31COLH,1,Ki-67- Tregs (% of Tregs)
BK02527TS02,1,Ki-67- Tregs (% of Tregs)
BK02598BL02-2,1,Ki-67- Tregs (% of Tregs)
K03323FP04_SL02,0.84646403,Ki-67- Tregs (% of Tregs)
PICI0002_A00_K02121FP01_SSL_A13,0.9318182,Ki-67- Tregs (% of Tregs)
BK00583TS13,0.9474734,Ki-67- Tregs (% of Tregs)
BK00397TS13,1,Ki-67- Tregs (% of Tregs)
BK00178BL01-12,0.8,Ki-67- Tregs (% of Tregs)
BK02565TS13,0.93702939,Ki-67- Tregs (% of Tregs)
BK00287BL01-12,0.94736844,Ki-67- Tregs (% of Tregs)
BK00463BL01-13,0.6875,Ki-67- Tregs (% of Tregs)
BK00594BL01-12,0.9519626299999999,Ki-67- Tregs (% of Tregs)
BK00573BL02_SL04,0.8722826,Ki-67- Tregs (% of Tregs)
BK12442SL03,1,Ki-67- Tregs (% of Tregs)
BK00595TS13,0.96169773,Ki-67- Tregs (% of Tregs)
BK02572TS13,1,Ki-67- Tregs (% of Tregs)
BK00177TS13,0.9574468,Ki-67- Tregs (% of Tregs)
BK00605TS03,0.88235295,Ki-67- Tregs (% of Tregs)
BK00572TS02,0.9153418,Ki-67- Tregs (% of Tregs)
BK02573TS12,0.9107143,Ki-67- Tregs (% of Tregs)
BK02561TS12,0.6,Ki-67- Tregs (% of Tregs)
BK02574TS12,0.85714287,Ki-67- Tregs (% of Tregs)
BK02563TS14,0.875,Ki-67- Tregs (% of Tregs)
