sample.id,value,epitope.id,paper.name
PICI0002_A01_K00891KE01_SPB_A02,0.889343009,ICOS,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K00891KE01_SPB_A02,0.187523666,HAVR2,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK01802EB01,0.95375039,CCR7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK01802EB01,0.689886221,CTLA4,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK01802EB01,0.609388352,EOMES,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK01823EB02,0.309293265,KI67,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K00891KE01_SPB_A02,0.69782967,TBX21,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K00891KE01_SPB_A02,0.119998806,EOMES,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K00891KE01_SPB_A02,0.340037021,ENTP1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K00891KE01_SPB_A02,0.55308802,CCR7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K00891KE01_SPB_A02,0.813661158,PDCD1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00995EB01,0.69359462,CTLA4,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK01802EB01,0.087581108,KI67,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK01846EB01,0.875399344,LAG3,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00995EB01,0.180707188,KI67,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK01802EB01,0.863300984,LAG3,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK01846EB01,0.610406976,EOMES,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK01846EB01,0.661069314,HAVR2,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K00891KE01_SPB_A02,0.563881877,LAG3,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K00891KE01_SPB_A02,1.342398397,KI67,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K00891KE01_SPB_A02,1.058605114,CTLA4,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K00891KE01_SPB_A02,0.246998994,CD244,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK01829EB01,0.955605212,ICOS,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K00891KE01_SPB_A02,0.290355857,TCF7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01413KE01_SPB_A02,0.845036834,ICOS,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK01842EB01,0.809833267,CTLA4,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01413KE01_SPB_A02,0.89901979,TCF7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00333EB02,0.09165477,KI67,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK01842EB01,0.669414262,HAVR2,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01413KE01_SPB_A02,0.847025678,CTLA4,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01413KE01_SPB_A02,0.741812276,EOMES,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01413KE01_SPB_A02,0.97758892,CCR7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01413KE01_SPB_A02,0.462725409,PDCD1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01413KE01_SPB_A02,0.262493475,HAVR2,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK01842EB01,0.525404589,EOMES,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01413KE01_SPB_A02,0.521222811,ENTP1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01413KE01_SPB_A02,0.575280564,TBX21,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK01829EB01,0.722362083,HAVR2,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01413KE01_SPB_A02,0.243330091,LAG3,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01413KE01_SPB_A02,-0.038714198,CD244,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01432KE01_SPB_A01,0.993522434,CTLA4,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK01832EB01,0.688477351,CTLA4,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK01842EB01,0.540456847,KI67,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK01842EB01,0.94170359,CCR7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01432KE01_SPB_A01,0.164326033,CD244,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00176EB02,0.834668577,ICOS,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01413KE01_SPB_A02,0.357191103,KI67,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00176EB02,0.345581756,ENTP1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK01832EB01,1.026290701,CCR7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01409KE01_SPB_A02,0.524506317,ENTP1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00176EB02,0.362365822,KI67,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK01832EB01,-0.343401279,LAG3,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00176EB02,0.825679503,CCR7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01409KE01_SPB_A02,0.377367515,LAG3,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00176EB02,0.576315022,HAVR2,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01409KE01_SPB_A02,0.679498691,TBX21,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK01832EB01,-0.111342334,KI67,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01432KE01_SPB_A01,0.792878219,TCF7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01409KE01_SPB_A02,0.461945294,PDCD1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
