sample.id,value,paper.name
PICI0002_A01_K00891KE01_SPB_A02,0.0044646296,PD-1+CD39+ central memory CD4+ T cells (% of central memory CD4 T cells)
PICI0002_A05_K01609KE01_SPB_A02,0.011212035,PD-1+CD39+ central memory CD4+ T cells (% of central memory CD4 T cells)
PICI0002_A06_K01343KE01_SPB_A02,0.011498383,PD-1+CD39+ central memory CD4+ T cells (% of central memory CD4 T cells)
PICI0002_A01_K01413KE01_SPB_A02,0.10406155,PD-1+CD39+ central memory CD4+ T cells (% of central memory CD4 T cells)
PICI0002_A05_K01610KE01_SPB_A02,0.11605892,PD-1+CD39+ central memory CD4+ T cells (% of central memory CD4 T cells)
PICI0002_A06_K00943CP01_SPB_A01,0.06288449,PD-1+CD39+ central memory CD4+ T cells (% of central memory CD4 T cells)
PICI0002_A01_K01409KE01_SPB_A02,0.059233278,PD-1+CD39+ central memory CD4+ T cells (% of central memory CD4 T cells)
PICI0002_A06_K01670KE01_SPB_A02,0.052816197,PD-1+CD39+ central memory CD4+ T cells (% of central memory CD4 T cells)
PICI0002_A01_K01427KE01_SPB_A02,0.09907814,PD-1+CD39+ central memory CD4+ T cells (% of central memory CD4 T cells)
PICI0002_A01_K01427KE01_SPB_A04,0.08517623,PD-1+CD39+ central memory CD4+ T cells (% of central memory CD4 T cells)
PICI0002_A05_K01621KE01_SPB_A02,0.0964765,PD-1+CD39+ central memory CD4+ T cells (% of central memory CD4 T cells)
PICI0002_A05_K01621KE01_SPB_A04,0.09752746,PD-1+CD39+ central memory CD4+ T cells (% of central memory CD4 T cells)
PICI0002_A06_K01818KE01_SPB_A02,0.09118922,PD-1+CD39+ central memory CD4+ T cells (% of central memory CD4 T cells)
PICI0002_A06_K01818KE01_SPB_A04,0.075438745,PD-1+CD39+ central memory CD4+ T cells (% of central memory CD4 T cells)
BK00944EB02,0.08726119,PD-1+CD39+ central memory CD4+ T cells (% of central memory CD4 T cells)
BK00969EB02,0.084340010000000007,PD-1+CD39+ central memory CD4+ T cells (% of central memory CD4 T cells)
PICI0002_A16_K06268KE01_SPB_A02,0.09863875,PD-1+CD39+ central memory CD4+ T cells (% of central memory CD4 T cells)
BK00105EB02,0.053638797,PD-1+CD39+ central memory CD4+ T cells (% of central memory CD4 T cells)
BK00968EB02,0.04701887,PD-1+CD39+ central memory CD4+ T cells (% of central memory CD4 T cells)
BK00954EB01,0.20967561,PD-1+CD39+ central memory CD4+ T cells (% of central memory CD4 T cells)
BK00972EB01,0.21152842,PD-1+CD39+ central memory CD4+ T cells (% of central memory CD4 T cells)
BK01764EB01,0.20148484,PD-1+CD39+ central memory CD4+ T cells (% of central memory CD4 T cells)
BK10616EB01,0.21090685,PD-1+CD39+ central memory CD4+ T cells (% of central memory CD4 T cells)
